experiment,rat_id,trial,cage_context,scent,choice,reward,reaction_time,maze_run_time
exp1,21,1,mesh,none,R,0,0.6411128319732502,2.6024034860141225
exp1,21,2,wood,none,R,1,0.3771048609175362,3.2365022752443995
exp1,21,3,mesh,peppermint,R,1,0.5237459963208108,4.114533136194833
exp1,21,4,mesh,none,R,0,0.6618713809363691,3.098958350439515
exp1,21,5,mesh,lemon,R,0,0.6344371867458442,4.0729010507808825
exp1,21,6,wood,peppermint,R,0,1.1769242242479296,2.3977589745598378
exp1,21,7,mesh,peppermint,L,0,0.34069208084072006,3.499425217597667
exp1,21,8,wood,lemon,R,0,1.023278286020308,3.1513351707512705
exp1,21,9,wood,lemon,L,1,0.5171693146689409,3.386872708574361
exp1,21,10,wood,lemon,R,0,0.29089696239846824,3.852169300573798
exp1,21,11,wood,lemon,R,0,0.9798100199900452,3.3843120212549804
exp1,21,12,wood,peppermint,L,1,0.5936722356761718,3.0400135441737732
exp1,21,13,mesh,none,R,0,1.293572444915601,2.567080122398282
exp1,21,14,wood,peppermint,R,1,0.612032696172354,2.9696572833990396
exp1,21,15,mesh,peppermint,R,0,0.363862795774635,3.512720341037516
exp1,21,16,mesh,lemon,L,1,0.3147739797322381,3.743844223201757
exp1,21,17,mesh,none,R,0,0.8089059097205257,3.27052133310286
exp1,21,18,mesh,none,R,0,0.8356518627783732,4.279870973641982
exp1,21,19,wood,none,R,1,0.3169557659817671,3.2795998017204373
exp1,21,20,mesh,none,R,0,0.33212604176846733,4.070481466182704
exp1,21,21,wood,peppermint,L,0,0.7649199349965232,3.3157896035690118
exp1,21,22,wood,lemon,R,1,0.2943292186821332,3.398626149270017
exp1,21,23,mesh,none,R,0,0.2565753477538706,3.220697235580875
exp1,21,24,mesh,peppermint,R,1,0.47833903265057126,2.3979565249144015
exp1,21,25,wood,peppermint,R,0,0.33442881023529075,4.116775348684534
exp1,21,26,mesh,none,R,0,0.6983863721710699,4.095617597590371
exp1,21,27,wood,lemon,R,1,1.083343516292921,3.5434315830372913
exp1,21,28,wood,none,R,1,1.01725595841673,2.9904317591075458
exp1,21,29,wood,peppermint,R,1,0.8959372745922984,3.176550387995011
exp1,21,30,mesh,lemon,R,0,0.8664092397099824,3.7936909291439647
exp1,21,31,mesh,peppermint,R,1,0.630400344803418,3.2431694968858844
exp1,21,32,wood,peppermint,R,1,0.43592849160460423,2.1394764371851687
exp1,21,33,wood,lemon,R,0,0.355492758101835,3.6614661074191717
exp1,21,34,wood,none,R,0,0.6308384059781982,3.405756570120585
exp1,21,35,mesh,peppermint,R,1,0.48724151291085777,4.057671609581092
exp1,21,36,wood,lemon,R,1,0.5981194215176283,3.4533241929046414
exp1,21,37,mesh,lemon,R,1,0.7209650090934485,2.148574719522034
exp1,21,38,wood,none,L,0,0.37932253274536876,2.88406565593346
exp1,21,39,mesh,peppermint,R,0,0.8499541683995245,4.557525841071101
exp1,21,40,mesh,peppermint,L,1,0.8129845394636211,2.650566909779003
exp1,21,41,wood,peppermint,L,1,0.36796371985531384,3.0470577067496154
exp1,21,42,mesh,lemon,R,0,0.7938992237448439,3.878256460143194
exp1,21,43,wood,lemon,R,1,0.44644987443191175,2.210180594681081
exp1,21,44,wood,lemon,L,1,0.8391631750583194,2.8919204881101375
exp1,21,45,wood,peppermint,R,0,1.1669409038082128,3.5657613650390783
exp1,21,46,wood,peppermint,L,1,0.5470889807769201,2.9017762544771446
exp1,21,47,mesh,peppermint,L,1,0.6578018470962328,2.6703504815747747
exp1,21,48,wood,lemon,R,0,0.5238705574801726,3.5730105585222196
exp1,21,49,wood,lemon,L,1,0.24393710609513905,2.7794880897381957
exp1,21,50,mesh,lemon,L,0,0.6881882924581371,2.7303929886975
exp1,21,51,mesh,none,R,0,0.6331088031988006,3.8183490684633687
exp1,21,52,mesh,peppermint,L,1,0.4065770099398857,2.3643550651987093
exp1,21,53,wood,lemon,L,1,0.7364448817282662,3.347951609745316
exp1,21,54,wood,none,R,0,1.5678166117132002,3.379345902777599
exp1,21,55,mesh,none,L,0,0.44093140808038195,3.946957054899198
exp1,21,56,mesh,peppermint,L,0,0.2646924232651087,4.070978246934562
exp1,21,57,wood,none,R,1,0.5506821038454556,2.7068511189956572
exp1,21,58,wood,peppermint,R,0,0.3626164508313297,4.5678613785961675
exp1,21,59,mesh,peppermint,L,0,0.415314165277797,3.5166816719568295
exp1,21,60,mesh,none,L,0,0.46337872185838197,3.049889738075421
exp1,21,61,wood,none,R,0,0.49293508466591757,3.8039599665733204
exp1,21,62,wood,none,R,0,0.6672552459335053,4.089347992359631
exp1,21,63,mesh,lemon,L,1,0.21090575860565336,3.0252133820697216
exp1,21,64,mesh,none,L,1,1.1842662655263592,2.9076925992471274
exp1,21,65,wood,peppermint,R,0,0.6827254679962201,2.5410836691009884
exp1,21,66,mesh,peppermint,L,0,0.2,3.3365853272416914
exp1,21,67,mesh,peppermint,L,1,0.32417236375959874,3.865575290432237
exp1,21,68,mesh,none,L,1,0.5171741937840546,3.6921505027268084
exp1,21,69,wood,none,R,0,1.0611832693419263,4.118538973249414
exp1,21,70,wood,lemon,L,1,0.8353214372803108,2.864000013845932
exp1,21,71,mesh,none,R,0,0.4112118935387544,3.208180286787414
exp1,21,72,mesh,peppermint,L,1,0.46385231638202506,3.4723158845574074
exp1,21,73,mesh,peppermint,L,0,1.0241269716251593,3.482905107784728
exp1,21,74,wood,peppermint,R,0,0.3817744074042599,3.4371900196619327
exp1,21,75,mesh,none,L,1,0.48399690625855485,3.519588562363287
exp1,21,76,mesh,lemon,R,0,0.40232182221282503,2.442617551773906
exp1,21,77,mesh,lemon,R,0,0.4967927326678737,3.819714021096275
exp1,21,78,mesh,lemon,R,0,0.9299115774819481,4.147316651870065
exp1,21,79,wood,peppermint,L,1,0.7889590277521125,2.9403096490568807
exp1,21,80,wood,none,L,1,0.8683808202475145,3.0974194094927983
exp1,21,81,mesh,none,L,1,0.3826378836570118,3.8397509212745957
exp1,21,82,mesh,peppermint,L,1,0.4739158768168531,2.3136043751267956
exp1,21,83,wood,lemon,R,0,0.42230846526935256,3.61081982744466
exp1,21,84,mesh,none,R,1,0.3879812372169382,3.471884392399661
exp1,21,85,wood,none,R,0,0.9312341217362721,3.0707379532877677
exp1,21,86,mesh,none,L,1,0.7080307199630983,2.832480095309048
exp1,21,87,wood,none,R,0,0.4213243290861039,3.1541525883618475
exp1,21,88,mesh,peppermint,L,0,0.4831108854558409,3.2252277045949778
exp1,21,89,wood,none,L,1,0.5337379897174782,2.996854102474968
exp1,21,90,mesh,lemon,R,0,0.26223968053946123,4.377655535316652
exp1,21,91,mesh,none,R,0,0.4621204475585782,3.5583053978161363
exp1,21,92,wood,peppermint,R,1,0.2,3.4478195705815313
exp1,21,93,mesh,none,R,1,0.552885814167962,2.938614287156595
exp1,21,94,mesh,lemon,R,1,0.9342253548864642,2.951514741165679
exp1,21,95,wood,peppermint,R,1,0.33246789057395465,2.640931170618635
exp1,21,96,mesh,peppermint,R,0,0.4067913086658469,3.5478857078277217
exp1,21,97,wood,none,R,0,0.3936611114330765,3.291929620995018
exp1,21,98,wood,peppermint,L,1,0.4688287636430885,2.687790761992175
exp1,21,99,mesh,lemon,R,0,0.4258019672912911,3.810307507863763
exp1,21,100,wood,peppermint,R,1,1.2856441622550536,3.918958807319026
exp1,21,101,wood,lemon,L,1,0.7240700613677223,3.3609379124528225
exp1,21,102,wood,peppermint,R,0,0.31565478280298076,2.8634344075886453
exp1,21,103,mesh,lemon,L,1,1.000759341750493,3.5537496200590777
exp1,21,104,wood,none,R,0,1.1470093377358699,3.720124015105199
exp1,21,105,mesh,lemon,R,0,0.3542682463984299,4.170194261856923
exp1,21,106,wood,none,L,0,0.6449889847102629,3.3786812172738254
exp1,21,107,wood,lemon,R,0,1.2112641262307562,2.1242101380059655
exp1,21,108,wood,peppermint,R,0,0.8898167885405728,2.9347301734094353
exp1,21,109,wood,none,L,1,0.7558311291530003,3.4515837959973883
exp1,21,110,wood,none,L,1,0.2,2.2425532504618513
exp1,21,111,mesh,peppermint,L,1,0.6814849050646552,3.289790623992402
exp1,21,112,mesh,lemon,R,1,0.3445986161994372,3.2309908554477427
exp1,21,113,mesh,peppermint,R,0,1.2312382995914457,2.697183298468606
exp1,21,114,mesh,peppermint,R,0,0.5295649706130853,3.1480833709652685
exp1,21,115,mesh,peppermint,L,1,0.8955419704811953,2.910817844729463
exp1,21,116,wood,none,R,0,0.27598420473009033,2.7161138262051123
exp1,21,117,wood,peppermint,R,0,0.5776619802094574,3.0197312832043117
exp1,21,118,mesh,lemon,R,0,0.6769630435973922,4.358790102522159
exp1,21,119,wood,peppermint,R,0,0.7717741395566371,2.4892318576483885
exp1,21,120,mesh,peppermint,L,1,1.2183311652225524,3.138398219672513
exp1,21,121,wood,peppermint,L,0,0.636058307071229,3.9127891232967857
exp1,21,122,wood,peppermint,R,0,1.0814801060849404,3.9697391598402922
exp1,21,123,wood,none,L,0,0.21817267245597358,3.236984269605574
exp1,21,124,mesh,peppermint,L,0,1.1707205754858419,3.813307899615939
exp1,21,125,wood,none,L,0,1.1359581355865338,3.0517652811249
exp1,21,126,wood,lemon,R,1,1.0873706009509119,3.3379332039687313
exp1,21,127,wood,peppermint,L,1,0.7804881494647171,3.0494763830720135
exp1,21,128,mesh,none,L,1,0.3051706099951234,2.9361186060486664
exp1,21,129,mesh,lemon,R,0,1.0072651036445255,3.544055080656784
exp1,21,130,mesh,lemon,R,0,0.227423503058411,3.774445241057835
exp1,21,131,wood,peppermint,R,0,0.6462630833943762,3.0999796597599563
exp1,21,132,mesh,peppermint,L,1,0.5167772164469652,3.4488631559045597
exp1,21,133,mesh,lemon,R,0,0.40341737264454275,4.08295631087315
exp1,21,134,mesh,lemon,R,0,0.7148043098396819,3.4661593996860303
exp1,21,135,wood,peppermint,R,0,1.448222338632306,3.7977618028977203
exp1,21,136,mesh,none,L,1,0.47286305727235317,3.7549775978315862
exp1,21,137,mesh,peppermint,R,0,0.26708686353079486,4.539238698086895
exp1,21,138,wood,lemon,L,1,0.7136327041393054,3.0778759539156404
exp1,21,139,mesh,peppermint,L,0,0.5159603788644408,3.6906345734839894
exp1,21,140,mesh,peppermint,R,0,0.8528801004219241,4.44651807270176
exp1,21,141,wood,lemon,R,0,0.21241263847239333,3.2658256557202754
exp1,21,142,wood,none,L,1,0.8489509205857985,2.21349572867525
exp1,21,143,mesh,lemon,L,0,0.5640999740064424,3.334910712614906
exp1,21,144,wood,peppermint,L,1,0.9623241464209956,2.953023817183858
exp1,21,145,mesh,peppermint,L,1,0.6730972731137856,3.1726611287351623
exp1,21,146,wood,peppermint,R,0,0.5551576974094661,3.2049716632359715
exp1,21,147,wood,none,R,1,0.24132352958452072,4.016236830568665
exp1,21,148,mesh,lemon,R,0,0.3012949218261967,3.3511321755593846
exp1,21,149,mesh,lemon,L,1,0.8066707596292075,4.259853822822687
exp1,21,150,mesh,none,L,1,0.5805313317567121,3.2804040325804955
exp1,21,151,wood,peppermint,L,0,0.2,3.492514790984523
exp1,21,152,wood,none,R,0,0.2849332870869341,3.327047638897998
exp1,21,153,mesh,peppermint,R,1,0.5330860447294143,3.4241586098523027
exp1,21,154,mesh,peppermint,L,1,0.5229392810352023,3.2360412976371045
exp1,21,155,mesh,lemon,L,1,0.6969832471896034,3.6672411753717515
exp1,21,156,wood,none,R,0,0.29322179207228083,3.821856864841311
exp1,21,157,mesh,none,R,0,1.7884684850758819,3.6767324606345118
exp1,21,158,mesh,none,R,0,0.656591664505371,3.6667012417618956
exp1,21,159,mesh,none,R,0,1.0472479138258401,3.4634499821679157
exp1,21,160,mesh,lemon,R,1,0.3074335730673552,4.1586768828074305
exp1,21,161,mesh,none,R,1,0.3018315396775963,3.622929540594173
exp1,21,162,mesh,peppermint,L,1,0.4099203629946154,3.505185425095166
exp1,21,163,mesh,none,L,1,0.6569379457278034,2.9512383871590253
exp1,21,164,wood,lemon,R,0,1.791740012341575,2.1292552852613116
exp1,21,165,mesh,lemon,L,1,0.6698866450599958,3.8076483358192794
exp1,21,166,mesh,none,L,0,1.6680565884317182,3.8984749944201273
exp1,21,167,mesh,none,L,0,0.9205847276400834,2.4372598957904024
exp1,21,168,wood,none,R,1,0.5474269287255372,4.421724907211613
exp1,21,169,mesh,lemon,L,0,0.7601146324539495,3.6810523883286432
exp1,21,170,mesh,none,L,0,0.5098730749660276,3.580305651077584
exp1,21,171,wood,lemon,R,0,0.5572589953214698,3.1376588787950372
exp1,21,172,mesh,lemon,L,1,0.3206832090713193,2.5851424584259046
exp1,21,173,wood,none,L,0,0.4747314642725475,2.9027424805491857
exp1,21,174,mesh,lemon,L,1,2.0196058358452187,3.0691349999995636
exp1,21,175,mesh,lemon,R,0,0.6846037187972454,3.280882225981962
exp1,21,176,mesh,none,R,0,1.0391001559489759,3.582549467785216
exp1,21,177,mesh,peppermint,L,1,0.6813731594754843,3.0154569411874665
exp1,21,178,wood,lemon,L,1,1.5478772430188277,2.6082559358270627
exp1,21,179,wood,lemon,L,1,0.33932910062616406,3.407298288294894
exp1,21,180,wood,lemon,R,0,0.6938903978642675,3.204477139636579
exp1,21,181,mesh,peppermint,R,0,0.3074914741689908,4.327569066899874
exp1,21,182,mesh,none,L,1,0.20221925514491212,2.7690678909151103
exp1,21,183,wood,peppermint,R,0,0.9911589795226713,4.156671817675798
exp1,21,184,mesh,none,R,0,0.8950713659948087,3.257540654442814
exp1,21,185,mesh,none,L,0,0.3396116827777092,3.1923063451187432
exp1,21,186,wood,peppermint,R,0,0.2,2.729216914072566
exp1,21,187,wood,lemon,L,0,0.3350692388487441,3.327197836665124
exp1,21,188,wood,peppermint,R,0,0.30993618205873064,3.0769638933529637
exp1,21,189,wood,none,R,0,1.0836852993765513,3.296840663282078
exp1,21,190,wood,peppermint,R,0,0.49357956629638183,3.379540609406316
exp1,21,191,mesh,peppermint,R,0,0.4679539605497119,3.010601036698298
exp1,21,192,mesh,none,L,1,0.6521234291729733,3.117819824292314
exp1,21,193,mesh,lemon,R,0,0.9683275110117467,3.972231722814311
exp1,21,194,mesh,peppermint,R,1,0.7387309013840663,3.1640048589917025
exp1,21,195,wood,peppermint,L,1,0.6573671653644921,3.2240693637033537
exp1,21,196,mesh,lemon,R,1,0.6941993641250126,3.0214536630838458
exp1,21,197,wood,lemon,R,0,0.5484462403818704,3.9276471066011567
exp1,21,198,mesh,lemon,R,1,1.154711741770169,2.8877224792046734
exp1,21,199,wood,peppermint,L,1,0.30852133742605564,3.19032321397258
exp1,21,200,mesh,peppermint,L,1,0.7075388540827958,2.3682698719629203
