sub_id,group,trial,block,stim_freq,stim_orient,correct_category,response,correct,rt
12,RB,1,1,4.3,19.25,B,A,0,618.8
12,RB,2,1,65.19,17.0,A,B,0,756.4
12,RB,3,1,36.97,53.66,B,B,1,672.3
12,RB,4,1,85.82,71.97,A,B,0,569.6
12,RB,5,1,15.96,87.38,B,B,1,713.3
12,RB,6,1,11.38,0.8,B,A,0,745.9
12,RB,7,1,13.61,71.59,B,B,1,649.3
12,RB,8,1,69.74,76.82,A,B,0,562.8
12,RB,9,1,8.22,85.44,B,B,1,749.7
12,RB,10,1,58.94,71.82,A,A,1,546.9
12,RB,11,1,98.57,48.6,A,B,0,603.5
12,RB,12,1,37.47,50.97,B,B,1,700.8
12,RB,13,1,91.04,83.88,A,A,1,668.3
12,RB,14,1,77.24,60.92,A,B,0,632.2
12,RB,15,1,21.39,27.81,B,B,1,615.9
12,RB,16,1,58.66,81.65,A,B,0,594.9
12,RB,17,1,1.76,30.81,B,A,0,570.3
12,RB,18,1,26.96,15.29,B,B,1,691.7
12,RB,19,1,39.48,67.95,B,A,0,607.5
12,RB,20,1,49.77,75.89,B,B,1,576.1
12,RB,21,2,21.48,39.32,B,A,0,639.2
12,RB,22,2,83.34,56.54,A,B,0,626.1
12,RB,23,2,89.58,72.0,A,B,0,753.8
12,RB,24,2,39.14,26.38,B,A,0,778.7
12,RB,25,2,61.6,41.52,A,A,1,637.2
12,RB,26,2,56.87,46.43,A,A,1,559.5
12,RB,27,2,61.3,46.98,A,A,1,712.1
12,RB,28,2,17.23,56.5,B,A,0,634.4
12,RB,29,2,82.49,30.92,A,B,0,575.1
12,RB,30,2,80.89,69.38,A,B,0,671.0
12,RB,31,2,53.62,62.15,A,A,1,689.7
12,RB,32,2,56.89,91.11,A,A,1,622.8
12,RB,33,2,95.01,30.08,A,B,0,697.7
12,RB,34,2,79.09,27.13,A,B,0,746.1
12,RB,35,2,64.48,88.19,A,B,0,662.8
12,RB,36,2,80.48,18.81,A,A,1,708.0
12,RB,37,2,16.78,49.13,B,A,0,659.9
12,RB,38,2,76.36,17.83,A,A,1,682.7
