condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
4F4K_congruent,67,0,1,115,32.86,46.97,0.04,0.74,107,1965,Incorrect
4F4K_congruent,67,1,2,108,45.63,32.17,0.05,0.51,97,1469,Incorrect
4F4K_congruent,67,2,2,97,36.84,52.26,0.04,0.82,97,1274,Correct
4F4K_congruent,67,3,1,107,73.28,56.1,0.08,0.88,115,916,Incorrect
4F4K_congruent,67,4,1,107,36.63,23.36,0.04,0.37,115,1019,Incorrect
4F4K_congruent,67,5,2,97,37.38,60.07,0.04,0.94,108,1575,Incorrect
4F4K_congruent,67,6,1,115,43.92,61.16,0.05,0.96,115,1793,Correct
4F4K_congruent,67,7,2,97,42.78,61.85,0.05,0.97,97,1384,Correct
4F4K_congruent,67,8,2,108,76.81,59.25,0.09,0.93,108,1315,Correct
4F4K_congruent,67,9,2,97,62.98,85.45,0.07,1.34,108,1011,Incorrect
4F4K_congruent,67,10,2,97,14.16,42.62,0.02,0.67,108,1395,Incorrect
4F4K_congruent,67,11,1,115,61.19,86.47,0.07,1.36,107,2026,Incorrect
4F4K_congruent,67,12,1,107,62.93,33.24,0.07,0.52,107,2400,Correct
4F4K_congruent,67,13,2,108,42.64,25.75,0.05,0.4,97,1764,Incorrect
4F4K_congruent,67,14,2,108,41.69,13.82,0.05,0.22,97,1010,Incorrect
4F4K_congruent,67,15,1,107,58.59,50.7,0.07,0.8,107,1956,Correct
4F4K_congruent,67,16,2,97,40.9,57.04,0.05,0.9,108,1931,Incorrect
4F4K_congruent,67,17,1,107,32.29,16.43,0.04,0.26,115,979,Incorrect
4F4K_congruent,67,18,1,115,24.74,48.92,0.03,0.77,107,1161,Incorrect
4F4K_congruent,67,19,2,97,19.99,39.71,0.02,0.62,97,1031,Correct
4F4K_congruent,67,20,2,108,69.7,40.19,0.08,0.63,108,1233,Correct
4F4K_congruent,67,21,2,97,52.34,63.06,0.06,0.99,108,1251,Incorrect
4F4K_congruent,67,22,2,97,48.53,76.36,0.05,1.2,97,752,Correct
4F4K_congruent,67,23,2,108,39.0,20.2,0.04,0.32,108,1054,Correct
4F4K_congruent,67,24,1,115,50.62,66.43,0.06,1.04,115,1091,Correct
4F4K_congruent,67,25,2,97,27.7,53.51,0.03,0.84,108,826,Incorrect
4F4K_congruent,67,26,1,115,11.35,33.43,0.01,0.53,115,1165,Correct
4F4K_congruent,67,27,2,108,43.5,18.5,0.05,0.29,108,1333,Correct
4F4K_congruent,67,28,2,108,55.21,30.46,0.06,0.48,97,1014,Incorrect
4F4K_congruent,67,29,1,107,70.34,45.65,0.08,0.72,115,744,Incorrect
4F4K_congruent,67,30,1,107,75.57,51.87,0.08,0.81,115,927,Incorrect
4F4K_congruent,67,31,2,108,79.16,62.81,0.09,0.99,97,750,Incorrect
4F4K_congruent,67,32,2,108,83.82,58.09,0.09,0.91,108,737,Correct
4F4K_congruent,67,33,2,97,12.33,32.96,0.01,0.52,97,1292,Correct
4F4K_congruent,67,34,2,97,69.51,88.73,0.08,1.39,108,1373,Incorrect
4F4K_congruent,67,35,1,115,49.5,64.03,0.06,1.01,115,1252,Correct
4F4K_congruent,67,36,2,97,42.61,69.99,0.05,1.1,108,842,Incorrect
4F4K_congruent,67,37,1,107,58.47,32.48,0.07,0.51,107,1404,Correct
4F4K_congruent,67,38,2,97,12.36,30.43,0.01,0.48,97,1327,Correct
4F4K_congruent,67,39,2,97,41.12,60.06,0.05,0.94,108,1673,Incorrect
4F4K_congruent,67,40,1,115,24.2,52.5,0.03,0.82,115,3826,Correct
4F4K_congruent,67,41,1,107,81.51,55.49,0.09,0.87,115,1136,Incorrect
4F4K_congruent,67,42,2,97,39.85,69.57,0.04,1.09,108,2795,Incorrect
4F4K_congruent,67,43,1,107,83.52,58.35,0.09,0.92,115,866,Incorrect
4F4K_congruent,67,44,2,108,88.47,69.7,0.1,1.09,108,2045,Correct
