condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
4F4K_congruent,7,0,1,115,62.86,78.01,0.07,1.23,107,9376,Incorrect
4F4K_congruent,7,1,1,115,67.28,81.6,0.08,1.28,115,4476,Correct
4F4K_congruent,7,2,2,108,54.17,29.53,0.06,0.46,108,4594,Correct
4F4K_congruent,7,3,2,97,29.98,47.34,0.03,0.74,97,2192,Correct
4F4K_congruent,7,4,1,115,52.1,66.39,0.06,1.04,107,1770,Incorrect
4F4K_congruent,7,5,2,108,64.75,53.48,0.07,0.84,108,3613,Correct
4F4K_congruent,7,6,2,97,56.95,81.25,0.06,1.28,108,2185,Incorrect
4F4K_congruent,7,7,2,97,47.34,66.73,0.05,1.05,97,887,Correct
4F4K_congruent,7,8,1,115,58.86,71.12,0.07,1.12,115,4395,Correct
4F4K_congruent,7,9,2,97,33.31,57.97,0.04,0.91,108,2165,Incorrect
4F4K_congruent,7,10,2,108,80.76,66.03,0.09,1.04,97,3212,Incorrect
4F4K_congruent,7,11,1,107,62.26,33.89,0.07,0.53,107,2762,Correct
4F4K_congruent,7,12,1,107,45.96,18.02,0.05,0.28,107,2059,Correct
4F4K_congruent,7,13,2,97,29.76,38.52,0.03,0.61,97,1487,Correct
4F4K_congruent,7,14,1,115,39.57,67.72,0.04,1.06,107,4091,Incorrect
4F4K_congruent,7,15,2,97,47.56,57.04,0.05,0.9,97,1816,Correct
4F4K_congruent,7,16,1,115,27.03,52.46,0.03,0.82,107,997,Incorrect
4F4K_congruent,7,17,1,107,54.05,34.95,0.06,0.55,107,3024,Correct
4F4K_congruent,7,18,1,107,59.37,27.61,0.07,0.43,107,1182,Correct
4F4K_congruent,7,19,2,97,51.39,69.64,0.06,1.09,97,3857,Correct
4F4K_congruent,7,20,2,97,38.87,62.35,0.04,0.98,97,4520,Correct
4F4K_congruent,7,21,1,107,78.6,51.4,0.09,0.81,115,5192,Incorrect
4F4K_congruent,7,22,1,107,47.78,39.7,0.05,0.62,107,2760,Correct
4F4K_congruent,7,23,1,107,77.31,48.72,0.09,0.77,107,1631,Correct
