condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
4F4K_congruent,107,0,2,108,64.14,37.84,0.07,0.59,97,2767,Incorrect
4F4K_congruent,107,1,1,115,34.56,42.87,0.04,0.67,107,1054,Incorrect
4F4K_congruent,107,2,1,115,65.48,83.66,0.07,1.31,115,1535,Correct
4F4K_congruent,107,3,2,97,56.26,67.87,0.06,1.07,97,1464,Correct
4F4K_congruent,107,4,1,107,67.46,54.5,0.08,0.86,107,1758,Correct
4F4K_congruent,107,5,1,115,37.26,52.11,0.04,0.82,115,1104,Correct
4F4K_congruent,107,6,1,115,59.11,86.3,0.07,1.36,115,997,Correct
4F4K_congruent,107,7,2,97,57.56,74.86,0.06,1.18,108,923,Incorrect
4F4K_congruent,107,8,2,108,74.95,59.52,0.08,0.93,97,940,Incorrect
4F4K_congruent,107,9,1,115,65.1,79.15,0.07,1.24,115,712,Correct
4F4K_congruent,107,10,1,115,54.6,66.88,0.06,1.05,107,978,Incorrect
4F4K_congruent,107,11,2,108,55.36,42.43,0.06,0.67,97,889,Incorrect
4F4K_congruent,107,12,1,107,64.56,31.6,0.07,0.5,115,1206,Incorrect
4F4K_congruent,107,13,1,115,33.2,59.04,0.04,0.93,107,1040,Incorrect
4F4K_congruent,107,14,1,115,25.6,54.32,0.03,0.85,107,1303,Incorrect
4F4K_congruent,107,15,1,107,60.58,49.78,0.07,0.78,115,1438,Incorrect
4F4K_congruent,107,16,1,115,57.53,86.28,0.06,1.36,115,1039,Correct
4F4K_congruent,107,17,1,115,65.92,89.43,0.07,1.4,115,764,Correct
4F4K_congruent,107,18,2,108,56.77,27.43,0.06,0.43,108,1121,Correct
4F4K_congruent,107,19,1,107,70.36,41.78,0.08,0.66,115,1242,Incorrect
4F4K_congruent,107,20,1,107,51.61,29.5,0.06,0.46,115,1210,Incorrect
4F4K_congruent,107,21,2,108,63.7,48.14,0.07,0.76,97,1544,Incorrect
4F4K_congruent,107,22,2,97,27.83,60.58,0.03,0.95,108,1959,Incorrect
4F4K_congruent,107,23,2,97,56.92,85.31,0.06,1.34,97,2245,Correct
4F4K_congruent,107,24,1,115,24.7,49.83,0.03,0.78,107,967,Incorrect
4F4K_congruent,107,25,1,115,58.5,71.38,0.07,1.12,115,920,Correct
4F4K_congruent,107,26,1,107,41.75,25.69,0.05,0.4,107,816,Correct
4F4K_congruent,107,27,1,107,70.14,57.31,0.08,0.9,115,754,Incorrect
4F4K_congruent,107,28,2,97,46.71,63.26,0.05,0.99,108,1361,Incorrect
4F4K_congruent,107,29,1,107,76.06,51.55,0.09,0.81,115,1161,Incorrect
4F4K_congruent,107,30,2,108,86.65,63.41,0.1,1.0,97,967,Incorrect
4F4K_congruent,107,31,2,108,34.4,10.8,0.04,0.17,108,807,Correct
4F4K_congruent,107,32,1,107,69.3,46.36,0.08,0.73,107,1450,Correct
4F4K_congruent,107,33,1,107,74.43,61.14,0.08,0.96,107,1380,Correct
4F4K_congruent,107,34,1,107,69.13,45.16,0.08,0.71,107,1075,Correct
4F4K_congruent,107,35,2,108,47.23,20.81,0.05,0.33,108,1184,Correct
4F4K_congruent,107,36,1,107,42.17,26.16,0.05,0.41,107,1020,Correct
4F4K_congruent,107,37,1,115,28.07,54.11,0.03,0.85,115,1272,Correct
4F4K_congruent,107,38,2,97,49.92,62.69,0.06,0.98,97,1817,Correct
4F4K_congruent,107,39,1,107,50.23,20.43,0.06,0.32,107,956,Correct
4F4K_congruent,107,40,2,97,47.84,66.48,0.05,1.04,97,1301,Correct
4F4K_congruent,107,41,2,97,28.42,61.35,0.03,0.96,97,1158,Correct
4F4K_congruent,107,42,2,97,48.45,67.03,0.05,1.05,97,860,Correct
4F4K_congruent,107,43,1,115,63.43,76.55,0.07,1.2,115,793,Correct
4F4K_congruent,107,44,1,115,25.89,35.86,0.03,0.56,107,920,Incorrect
4F4K_congruent,107,45,1,107,50.74,26.48,0.06,0.42,115,1061,Incorrect
4F4K_congruent,107,46,1,115,54.99,69.03,0.06,1.08,115,835,Correct
4F4K_congruent,107,47,2,97,11.56,35.62,0.01,0.56,108,1190,Incorrect
4F4K_congruent,107,48,1,115,48.74,71.62,0.05,1.12,107,1066,Incorrect
4F4K_congruent,107,49,1,107,46.99,23.51,0.05,0.37,107,2380,Correct
4F4K_congruent,107,50,2,108,50.68,21.41,0.06,0.34,108,1388,Correct
4F4K_congruent,107,51,2,108,51.37,37.15,0.06,0.58,108,1186,Correct
4F4K_congruent,107,52,2,97,50.21,60.13,0.06,0.94,97,1176,Correct
4F4K_congruent,107,53,1,107,73.14,52.45,0.08,0.82,115,922,Incorrect
4F4K_congruent,107,54,1,107,66.19,36.37,0.07,0.57,115,1126,Incorrect
4F4K_congruent,107,55,2,108,35.27,22.07,0.04,0.35,108,861,Correct
4F4K_congruent,107,56,1,107,36.93,16.32,0.04,0.26,107,1628,Correct
4F4K_congruent,107,57,1,115,20.49,47.57,0.02,0.75,115,760,Correct
4F4K_congruent,107,58,2,108,73.79,59.48,0.08,0.93,108,892,Correct
4F4K_congruent,107,59,2,108,47.23,37.03,0.05,0.58,97,858,Correct
4F4K_congruent,107,60,1,115,46.93,60.51,0.05,0.95,115,1524,Correct
4F4K_congruent,107,61,1,115,33.72,56.6,0.04,0.89,115,991,Correct
4F4K_congruent,107,62,1,107,48.28,37.35,0.05,0.59,115,1625,Incorrect
4F4K_congruent,107,63,1,107,48.54,38.69,0.05,0.61,107,939,Correct
4F4K_congruent,107,64,2,97,25.96,46.8,0.03,0.74,97,2080,Correct
4F4K_congruent,107,65,2,108,33.53,17.62,0.04,0.28,97,1276,Incorrect
4F4K_congruent,107,66,2,108,87.87,66.44,0.1,1.04,108,1219,Correct
4F4K_congruent,107,67,1,115,49.48,57.51,0.06,0.9,107,2132,Incorrect
4F4K_congruent,107,68,2,108,37.96,14.45,0.04,0.23,97,1128,Incorrect
4F4K_congruent,107,69,1,115,56.67,64.92,0.06,1.02,115,1357,Correct
4F4K_congruent,107,70,2,97,39.95,58.92,0.04,0.93,108,1487,Incorrect
4F4K_congruent,107,71,2,108,61.92,30.29,0.07,0.48,97,2250,Incorrect
4F4K_congruent,107,72,1,115,46.99,69.65,0.05,1.09,107,2124,Incorrect
4F4K_congruent,107,73,1,115,63.39,80.86,0.07,1.27,115,933,Correct
4F4K_congruent,107,74,2,97,33.73,46.01,0.04,0.72,108,5130,Incorrect
4F4K_congruent,107,75,1,107,61.45,35.09,0.07,0.55,107,2839,Correct
4F4K_congruent,107,76,1,115,27.44,58.37,0.03,0.92,115,3948,Correct
4F4K_congruent,107,77,1,115,15.3,44.86,0.02,0.7,107,1751,Incorrect
4F4K_congruent,107,78,2,97,21.4,36.77,0.02,0.58,97,3163,Correct
4F4K_congruent,107,79,1,107,82.2,64.92,0.09,1.02,115,2215,Incorrect
4F4K_congruent,107,80,2,108,76.74,49.51,0.09,0.78,97,2031,Incorrect
4F4K_congruent,107,81,1,107,63.29,41.4,0.07,0.65,107,1863,Correct
4F4K_congruent,107,82,1,115,47.55,63.01,0.05,0.99,107,754,Incorrect
4F4K_congruent,107,83,2,97,56.41,75.83,0.06,1.19,97,2604,Correct
4F4K_congruent,107,84,1,107,64.94,53.41,0.07,0.84,107,1121,Correct
4F4K_congruent,107,85,2,108,76.15,57.15,0.09,0.9,108,1470,Correct
4F4K_congruent,107,86,2,97,50.8,59.01,0.06,0.93,97,1433,Correct
4F4K_congruent,107,87,2,108,49.37,22.69,0.06,0.36,108,1904,Correct
4F4K_congruent,107,88,2,108,71.52,39.2,0.08,0.62,97,2341,Incorrect
4F4K_congruent,107,89,1,115,36.28,55.36,0.04,0.87,107,1580,Incorrect
4F4K_congruent,107,90,1,115,60.05,70.91,0.07,1.11,107,2040,Incorrect
4F4K_congruent,107,91,2,108,60.59,43.79,0.07,0.69,108,2280,Correct
4F4K_congruent,107,92,2,97,32.33,51.0,0.04,0.8,97,2369,Correct
4F4K_congruent,107,93,1,115,40.08,72.55,0.04,1.14,115,4092,Correct
4F4K_congruent,107,94,1,107,83.38,69.11,0.09,1.09,115,2872,Incorrect
4F4K_congruent,107,95,2,97,61.3,72.68,0.07,1.14,108,2882,Incorrect
4F4K_congruent,107,96,1,115,44.88,71.04,0.05,1.12,107,2042,Incorrect
4F4K_congruent,107,97,1,107,82.53,63.09,0.09,0.99,107,1378,Correct
4F4K_congruent,107,98,2,97,41.13,48.68,0.05,0.76,97,1605,Correct
4F4K_congruent,107,99,1,107,65.29,51.46,0.07,0.81,107,3870,Correct
4F4K_congruent,107,100,1,115,47.52,62.31,0.05,0.98,115,1562,Correct
4F4K_congruent,107,101,1,115,47.94,54.93,0.05,0.86,107,3268,Incorrect
4F4K_congruent,107,102,2,97,65.13,82.94,0.07,1.3,97,2130,Correct
4F4K_congruent,107,103,2,97,48.65,66.1,0.05,1.04,108,1204,Incorrect
4F4K_congruent,107,104,1,107,65.16,57.1,0.07,0.9,107,1862,Correct
4F4K_congruent,107,105,2,97,44.21,53.8,0.05,0.85,97,3245,Correct
4F4K_congruent,107,106,1,107,76.78,46.47,0.09,0.73,107,2414,Correct
4F4K_congruent,107,107,1,107,65.68,52.17,0.07,0.82,107,1282,Correct
4F4K_congruent,107,108,2,108,79.21,48.82,0.09,0.77,97,2143,Incorrect
4F4K_congruent,107,109,1,115,58.87,81.62,0.07,1.28,115,1149,Correct
4F4K_congruent,107,110,2,108,51.84,28.61,0.06,0.45,108,3009,Correct
