condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
4F4K_congruent,119,0,1,115,46.52,75.23,0.05,1.18,115,2457,Correct
4F4K_congruent,119,1,2,97,48.07,68.52,0.05,1.08,108,2656,Incorrect
4F4K_congruent,119,2,1,115,18.79,45.53,0.02,0.72,107,1577,Incorrect
4F4K_congruent,119,3,2,108,79.63,65.39,0.09,1.03,97,1306,Incorrect
4F4K_congruent,119,4,2,108,56.87,25.47,0.06,0.4,97,2822,Incorrect
4F4K_congruent,119,5,1,115,29.77,40.23,0.03,0.63,107,3711,Incorrect
4F4K_congruent,119,6,1,115,58.38,67.29,0.07,1.06,115,3942,Correct
4F4K_congruent,119,7,2,97,43.8,60.66,0.05,0.95,97,5273,Correct
4F4K_congruent,119,8,2,97,26.56,37.44,0.03,0.59,108,2771,Incorrect
4F4K_congruent,119,9,1,115,40.25,61.56,0.05,0.97,115,4472,Correct
4F4K_congruent,119,10,2,97,24.78,46.02,0.03,0.72,108,5864,Incorrect
4F4K_congruent,119,11,1,107,66.31,50.77,0.07,0.8,115,4363,Incorrect
4F4K_congruent,119,12,2,97,50.08,71.88,0.06,1.13,108,3567,Incorrect
4F4K_congruent,119,13,2,108,63.98,55.25,0.07,0.87,97,1076,Incorrect
4F4K_congruent,119,14,2,108,59.4,34.53,0.07,0.54,97,5217,Incorrect
4F4K_congruent,119,15,2,108,56.24,29.51,0.06,0.46,97,4731,Incorrect
4F4K_congruent,119,16,2,97,13.45,32.22,0.02,0.51,108,1621,Incorrect
4F4K_congruent,119,17,1,115,17.54,33.16,0.02,0.52,107,4989,Incorrect
4F4K_congruent,119,18,2,108,80.08,55.05,0.09,0.86,97,2573,Incorrect
4F4K_congruent,119,19,1,107,44.31,33.52,0.05,0.53,115,2255,Incorrect
4F4K_congruent,119,20,1,107,47.18,18.06,0.05,0.28,107,1303,Correct
4F4K_congruent,119,21,1,107,62.94,40.56,0.07,0.64,107,1437,Correct
4F4K_congruent,119,22,2,97,68.98,85.92,0.08,1.35,97,920,Correct
4F4K_congruent,119,23,1,107,77.84,57.14,0.09,0.9,107,1286,Correct
4F4K_congruent,119,24,1,115,65.82,80.84,0.07,1.27,115,1201,Correct
4F4K_congruent,119,25,2,97,29.56,45.24,0.03,0.71,108,844,Incorrect
4F4K_congruent,119,26,1,115,24.54,37.89,0.03,0.6,115,2647,Correct
4F4K_congruent,119,27,1,107,72.69,48.17,0.08,0.76,107,3375,Correct
4F4K_congruent,119,28,2,108,67.4,44.55,0.08,0.7,97,3041,Incorrect
4F4K_congruent,119,29,2,97,10.18,32.71,0.01,0.51,108,2828,Incorrect
4F4K_congruent,119,30,2,97,13.08,32.8,0.01,0.52,97,2075,Correct
4F4K_congruent,119,31,2,108,38.65,22.5,0.04,0.35,108,3131,Correct
4F4K_congruent,119,32,1,115,42.39,68.26,0.05,1.07,107,8609,Incorrect
4F4K_congruent,119,33,2,97,28.84,39.29,0.03,0.62,108,7166,Incorrect
4F4K_congruent,119,34,1,107,69.88,37.17,0.08,0.58,115,3399,Incorrect
4F4K_congruent,119,35,1,115,43.08,69.04,0.05,1.08,107,11071,Incorrect
4F4K_congruent,119,36,2,97,61.46,72.16,0.07,1.13,97,2631,Correct
4F4K_congruent,119,37,2,108,69.77,55.9,0.08,0.88,97,6473,Incorrect
4F4K_congruent,119,38,2,108,40.1,16.48,0.04,0.26,108,6509,Correct
4F4K_congruent,119,39,1,115,21.99,50.99,0.02,0.8,115,2603,Correct
4F4K_congruent,119,40,1,115,20.87,42.0,0.02,0.66,115,2832,Correct
4F4K_congruent,119,41,1,115,19.29,35.01,0.02,0.55,115,1693,Correct
4F4K_congruent,119,42,2,108,78.83,55.94,0.09,0.88,97,2458,Incorrect
4F4K_congruent,119,43,1,115,41.72,74.38,0.05,1.17,115,3493,Correct
4F4K_congruent,119,44,1,115,24.89,42.67,0.03,0.67,115,1116,Correct
4F4K_congruent,119,45,1,107,77.49,45.29,0.09,0.71,107,3125,Correct
4F4K_congruent,119,46,2,108,78.14,47.74,0.09,0.75,108,2517,Correct
4F4K_congruent,119,47,1,115,27.17,52.85,0.03,0.83,115,2441,Correct
4F4K_congruent,119,48,2,97,18.22,42.4,0.02,0.67,108,1678,Incorrect
4F4K_congruent,119,49,2,108,43.7,27.32,0.05,0.43,97,1927,Incorrect
4F4K_congruent,119,50,1,115,51.85,67.18,0.06,1.06,115,1371,Correct
4F4K_congruent,119,51,1,115,22.21,52.53,0.02,0.83,107,672,Incorrect
4F4K_congruent,119,52,2,108,35.62,15.79,0.04,0.25,108,4177,Correct
4F4K_congruent,119,53,1,107,55.39,24.11,0.06,0.38,115,2032,Incorrect
4F4K_congruent,119,54,1,107,76.97,62.53,0.09,0.98,107,2065,Correct
4F4K_congruent,119,55,2,108,55.09,46.13,0.06,0.72,108,2382,Correct
4F4K_congruent,119,56,1,107,83.04,54.78,0.09,0.86,115,1520,Incorrect
4F4K_congruent,119,57,2,108,41.94,17.9,0.05,0.28,108,3609,Correct
4F4K_congruent,119,58,1,115,46.28,76.26,0.05,1.2,115,3370,Correct
4F4K_congruent,119,59,2,97,19.31,40.36,0.02,0.63,97,1596,Correct
4F4K_congruent,119,60,1,107,51.21,29.99,0.06,0.47,107,3350,Correct
4F4K_congruent,119,61,2,97,35.56,63.83,0.04,1.0,108,5700,Incorrect
4F4K_congruent,119,62,1,107,78.34,66.2,0.09,1.04,115,1659,Incorrect
4F4K_congruent,119,63,1,107,39.38,14.26,0.04,0.22,115,1982,Incorrect
4F4K_congruent,119,64,2,97,44.62,67.59,0.05,1.06,108,2159,Incorrect
4F4K_congruent,119,65,2,97,40.04,61.46,0.04,0.97,97,7808,Correct
4F4K_congruent,119,66,2,97,24.03,56.4,0.03,0.89,108,2263,Incorrect
4F4K_congruent,119,67,1,115,33.79,54.26,0.04,0.85,115,7980,Correct
4F4K_congruent,119,68,2,97,56.91,83.81,0.06,1.32,97,2597,Correct
4F4K_congruent,119,69,2,108,77.37,62.07,0.09,0.97,97,21484,Incorrect
4F4K_congruent,119,70,1,107,39.76,27.15,0.04,0.43,107,14930,Correct
4F4K_congruent,119,71,1,107,51.98,40.75,0.06,0.64,115,3181,Incorrect
4F4K_congruent,119,72,2,97,27.77,58.7,0.03,0.92,108,2309,Incorrect
4F4K_congruent,119,73,1,115,40.29,48.23,0.05,0.76,115,3134,Correct
4F4K_congruent,119,74,2,108,60.72,30.08,0.07,0.47,108,3881,Correct
4F4K_congruent,119,75,1,115,15.08,31.82,0.02,0.5,115,3375,Correct
4F4K_congruent,119,76,1,115,27.43,46.9,0.03,0.74,115,2406,Correct
4F4K_congruent,119,77,2,97,46.14,75.85,0.05,1.19,97,3027,Correct
4F4K_congruent,119,78,2,108,81.45,60.32,0.09,0.95,108,1419,Correct
4F4K_congruent,119,79,2,108,38.18,19.95,0.04,0.31,115,2557,Incorrect
4F4K_congruent,119,80,2,108,71.04,56.21,0.08,0.88,108,2989,Correct
4F4K_congruent,119,81,1,107,52.55,21.39,0.06,0.34,115,2092,Incorrect
4F4K_congruent,119,82,1,115,28.03,60.59,0.03,0.95,107,2418,Incorrect
4F4K_congruent,119,83,2,108,67.87,41.01,0.08,0.64,97,4390,Incorrect
4F4K_congruent,119,84,2,108,52.28,36.53,0.06,0.57,97,2809,Incorrect
4F4K_congruent,119,85,2,108,43.74,33.06,0.05,0.52,108,2112,Correct
4F4K_congruent,119,86,2,108,61.33,40.76,0.07,0.64,108,2815,Correct
4F4K_congruent,119,87,2,108,62.89,35.44,0.07,0.56,108,2271,Correct
4F4K_congruent,119,88,2,108,39.88,29.0,0.04,0.46,97,1856,Incorrect
4F4K_congruent,119,89,2,108,77.67,52.82,0.09,0.83,108,1546,Correct
4F4K_congruent,119,90,1,107,75.78,57.81,0.08,0.91,115,2522,Incorrect
4F4K_congruent,119,91,2,108,46.04,33.72,0.05,0.53,108,782,Correct
4F4K_congruent,119,92,2,97,37.43,63.71,0.04,1.0,108,651,Incorrect
4F4K_congruent,119,93,2,97,39.41,66.59,0.04,1.05,97,2813,Correct
4F4K_congruent,119,94,1,107,82.51,57.36,0.09,0.9,107,3206,Correct
4F4K_congruent,119,95,2,97,44.07,54.48,0.05,0.86,108,1512,Incorrect
4F4K_congruent,119,96,1,115,69.28,84.56,0.08,1.33,115,3539,Correct
4F4K_congruent,119,97,2,97,47.81,74.95,0.05,1.18,108,3950,Incorrect
4F4K_congruent,119,98,2,97,23.99,44.68,0.03,0.7,97,3044,Correct
4F4K_congruent,119,99,2,108,41.8,13.59,0.05,0.21,97,3570,Incorrect
4F4K_congruent,119,100,2,108,76.5,46.85,0.09,0.74,108,1329,Correct
4F4K_congruent,119,101,1,115,23.35,52.6,0.03,0.83,107,1998,Incorrect
4F4K_congruent,119,102,1,115,65.9,83.44,0.07,1.31,115,3247,Correct
4F4K_congruent,119,103,2,108,72.41,50.09,0.08,0.79,97,4049,Incorrect
4F4K_congruent,119,104,2,97,52.29,66.09,0.06,1.04,108,1393,Incorrect
4F4K_congruent,119,105,1,107,82.3,56.84,0.09,0.89,107,6513,Correct
4F4K_congruent,119,106,1,107,89.79,67.45,0.1,1.06,107,1599,Correct
4F4K_congruent,119,107,1,107,37.5,21.24,0.04,0.33,107,5796,Correct
4F4K_congruent,119,108,1,107,73.38,46.42,0.08,0.73,107,1866,Correct
4F4K_congruent,119,109,2,108,62.83,36.02,0.07,0.57,97,1937,Incorrect
4F4K_congruent,119,110,2,97,25.95,38.13,0.03,0.6,108,3716,Incorrect
4F4K_congruent,119,111,1,107,86.96,60.77,0.1,0.95,107,2661,Correct
4F4K_congruent,119,112,1,107,78.8,49.97,0.09,0.78,107,1239,Correct
4F4K_congruent,119,113,2,108,63.19,34.09,0.07,0.54,108,2312,Correct
4F4K_congruent,119,114,1,115,48.95,77.28,0.05,1.21,107,1847,Incorrect
4F4K_congruent,119,115,1,107,55.16,39.51,0.06,0.62,107,5101,Correct
4F4K_congruent,119,116,1,107,77.09,48.37,0.09,0.76,107,1431,Correct
4F4K_congruent,119,117,2,97,69.83,87.66,0.08,1.38,108,3682,Incorrect
4F4K_congruent,119,118,1,107,62.76,31.75,0.07,0.5,115,1062,Incorrect
4F4K_congruent,119,119,2,97,62.52,82.43,0.07,1.29,108,3434,Incorrect
4F4K_congruent,119,120,1,107,48.13,40.1,0.05,0.63,107,3704,Correct
4F4K_congruent,119,121,2,108,61.35,47.91,0.07,0.75,97,1938,Incorrect
4F4K_congruent,119,122,2,108,61.76,36.12,0.07,0.57,108,2565,Correct
4F4K_congruent,119,123,2,97,68.44,82.79,0.08,1.3,108,1755,Incorrect
4F4K_congruent,119,124,2,108,65.5,50.32,0.07,0.79,108,3468,Correct
4F4K_congruent,119,125,1,115,40.45,49.71,0.05,0.78,107,1564,Incorrect
4F4K_congruent,119,126,1,107,86.49,58.29,0.1,0.92,107,3500,Correct
4F4K_congruent,119,127,2,97,49.02,70.37,0.05,1.11,108,9462,Incorrect
4F4K_congruent,119,128,2,97,22.02,47.86,0.02,0.75,108,2166,Incorrect
4F4K_congruent,119,129,1,107,69.83,44.6,0.08,0.7,107,2347,Correct
4F4K_congruent,119,130,1,115,60.17,79.95,0.07,1.26,107,1813,Incorrect
4F4K_congruent,119,131,1,115,17.06,33.66,0.02,0.53,115,3647,Correct
4F4K_congruent,119,132,2,97,20.22,44.71,0.02,0.7,97,1376,Correct
4F4K_congruent,119,133,1,115,16.64,42.76,0.02,0.67,115,3112,Correct
4F4K_congruent,119,134,2,97,51.62,62.17,0.06,0.98,97,3404,Correct
4F4K_congruent,119,135,2,97,43.68,66.3,0.05,1.04,97,6458,Correct
4F4K_congruent,119,136,1,107,76.79,63.51,0.09,1.0,107,2302,Correct
4F4K_congruent,119,137,2,97,30.94,43.92,0.03,0.69,97,1271,Correct
4F4K_congruent,119,138,1,115,61.96,76.39,0.07,1.2,107,2424,Incorrect
4F4K_congruent,119,139,1,115,28.7,51.18,0.03,0.8,115,2300,Correct
4F4K_congruent,119,140,1,115,40.05,59.14,0.04,0.93,107,3486,Incorrect
4F4K_congruent,119,141,2,97,24.38,53.46,0.03,0.84,97,1398,Correct
4F4K_congruent,119,142,1,107,69.46,54.97,0.08,0.86,115,2809,Incorrect
4F4K_congruent,119,143,1,107,62.44,29.92,0.07,0.47,107,1629,Correct
4F4K_congruent,119,144,1,115,59.45,83.4,0.07,1.31,115,3147,Correct
4F4K_congruent,119,145,1,107,61.31,44.83,0.07,0.7,107,1886,Correct
4F4K_congruent,119,146,1,107,73.79,50.04,0.08,0.79,115,1279,Incorrect
4F4K_congruent,119,147,1,107,54.49,44.23,0.06,0.69,107,1366,Correct
4F4K_congruent,119,148,2,108,63.32,48.38,0.07,0.76,97,2431,Incorrect
4F4K_congruent,119,149,2,108,86.69,67.99,0.1,1.07,108,1232,Correct
4F4K_congruent,119,150,1,115,25.74,40.74,0.03,0.64,115,1607,Correct
4F4K_congruent,119,151,1,115,49.96,64.89,0.06,1.02,115,3121,Correct
4F4K_congruent,119,152,2,108,57.66,25.15,0.06,0.39,108,2717,Correct
4F4K_congruent,119,153,2,97,49.61,79.73,0.06,1.25,108,1386,Incorrect
4F4K_congruent,119,154,2,97,41.74,48.56,0.05,0.76,108,1046,Incorrect
4F4K_congruent,119,155,2,108,58.36,36.48,0.07,0.57,97,1507,Incorrect
4F4K_congruent,119,156,1,115,26.41,43.49,0.03,0.68,115,966,Correct
4F4K_congruent,119,157,1,107,64.26,48.94,0.07,0.77,107,2296,Correct
4F4K_congruent,119,158,1,115,68.31,85.5,0.08,1.34,107,2210,Incorrect
4F4K_congruent,119,159,1,115,32.39,45.21,0.04,0.71,115,1348,Correct
4F4K_congruent,119,160,2,97,32.17,54.05,0.04,0.85,97,3898,Correct
4F4K_congruent,119,161,2,97,28.14,59.83,0.03,0.94,108,1099,Incorrect
4F4K_congruent,119,162,2,97,56.75,71.61,0.06,1.12,108,1636,Incorrect
4F4K_congruent,119,163,1,107,44.52,16.59,0.05,0.26,107,2360,Correct
4F4K_congruent,119,164,1,107,54.88,39.72,0.06,0.62,107,1047,Correct
4F4K_congruent,119,165,1,107,89.67,68.47,0.1,1.08,107,2493,Correct
4F4K_congruent,119,166,1,107,40.75,16.02,0.05,0.25,115,1435,Incorrect
4F4K_congruent,119,167,2,97,32.17,43.44,0.04,0.68,108,2656,Incorrect
4F4K_congruent,119,168,1,115,22.24,45.51,0.02,0.71,115,1026,Correct
4F4K_congruent,119,169,2,97,10.26,32.16,0.01,0.51,97,2461,Correct
4F4K_congruent,119,170,1,107,53.57,34.42,0.06,0.54,107,1617,Correct
4F4K_congruent,119,171,2,108,61.51,29.02,0.07,0.46,108,2018,Correct
4F4K_congruent,119,172,1,115,20.59,38.8,0.02,0.61,107,3131,Incorrect
4F4K_congruent,119,173,1,107,78.89,60.41,0.09,0.95,107,1014,Correct
4F4K_congruent,119,174,2,97,40.92,68.69,0.05,1.08,108,2295,Incorrect
4F4K_congruent,119,175,1,107,52.71,22.09,0.06,0.35,107,1493,Correct
4F4K_congruent,119,176,1,115,53.7,71.42,0.06,1.12,107,1053,Incorrect
4F4K_congruent,119,177,1,115,39.45,60.19,0.04,0.95,107,2054,Incorrect
4F4K_congruent,119,178,2,97,31.04,53.34,0.03,0.84,97,3120,Correct
4F4K_congruent,119,179,2,97,33.75,42.92,0.04,0.67,97,1624,Correct
4F4K_congruent,119,180,2,108,41.48,27.07,0.05,0.43,108,950,Correct
4F4K_congruent,119,181,1,107,41.21,15.01,0.05,0.24,107,2689,Correct
4F4K_congruent,119,182,1,115,51.23,66.77,0.06,1.05,107,1374,Incorrect
4F4K_congruent,119,183,2,108,66.21,57.9,0.07,0.91,97,912,Incorrect
4F4K_congruent,119,184,1,115,34.01,59.92,0.04,0.94,115,3745,Correct
4F4K_congruent,119,185,1,115,45.47,59.76,0.05,0.94,115,2208,Correct
4F4K_congruent,119,186,1,107,36.69,27.25,0.04,0.43,107,989,Correct
4F4K_congruent,119,187,1,107,37.07,13.83,0.04,0.22,107,1127,Correct
4F4K_congruent,119,188,2,108,49.66,21.45,0.06,0.34,97,1132,Incorrect
4F4K_congruent,119,189,1,115,61.98,86.25,0.07,1.35,107,1396,Incorrect
4F4K_congruent,119,190,2,97,64.89,87.22,0.07,1.37,108,1690,Incorrect
4F4K_congruent,119,191,2,108,57.5,30.92,0.06,0.49,97,564,Incorrect
4F4K_congruent,119,192,1,115,54.94,66.89,0.06,1.05,115,6264,Correct
4F4K_congruent,119,193,2,108,53.8,43.3,0.06,0.68,108,2929,Correct
4F4K_congruent,119,194,2,97,54.55,72.2,0.06,1.13,108,807,Incorrect
4F4K_congruent,119,195,1,107,68.02,42.15,0.08,0.66,107,2566,Correct
4F4K_congruent,119,196,1,107,76.67,47.97,0.09,0.75,107,1031,Correct
4F4K_congruent,119,197,1,115,45.05,71.39,0.05,1.12,115,885,Correct
4F4K_congruent,119,198,1,107,68.92,39.15,0.08,0.61,107,874,Correct
4F4K_congruent,119,199,2,108,41.39,24.99,0.05,0.39,97,3935,Incorrect
4F4K_congruent,119,200,2,108,72.3,56.34,0.08,0.89,97,471,Incorrect
4F4K_congruent,119,201,1,107,52.56,28.48,0.06,0.45,107,1472,Correct
4F4K_congruent,119,202,1,107,49.84,24.1,0.06,0.38,107,1081,Correct
4F4K_congruent,119,203,2,108,67.73,44.64,0.08,0.7,108,1309,Correct
4F4K_congruent,119,204,1,115,40.6,53.47,0.05,0.84,115,584,Correct
4F4K_congruent,119,205,1,107,44.51,30.58,0.05,0.48,115,834,Incorrect
4F4K_congruent,119,206,1,107,44.41,22.98,0.05,0.36,107,1855,Correct
4F4K_congruent,119,207,1,115,43.76,66.44,0.05,1.04,107,1141,Incorrect
4F4K_congruent,119,208,2,108,78.07,63.75,0.09,1.0,108,9013,Correct
4F4K_congruent,119,209,2,108,42.31,30.3,0.05,0.48,108,3123,Correct
4F4K_congruent,119,210,2,97,60.59,78.54,0.07,1.23,97,1257,Correct
4F4K_congruent,119,211,2,108,87.36,63.17,0.1,0.99,108,3182,Correct
4F4K_congruent,119,212,1,107,87.08,68.56,0.1,1.08,107,2558,Correct
4F4K_congruent,119,213,1,107,76.75,63.94,0.09,1.0,107,719,Correct
4F4K_congruent,119,214,1,107,60.8,50.39,0.07,0.79,115,588,Incorrect
4F4K_congruent,119,215,1,107,61.4,34.27,0.07,0.54,107,1373,Correct
4F4K_congruent,119,216,2,108,70.64,56.12,0.08,0.88,108,1516,Correct
4F4K_congruent,119,217,1,115,61.57,70.61,0.07,1.11,107,1945,Incorrect
4F4K_congruent,119,218,2,108,44.29,25.46,0.05,0.4,97,2908,Incorrect
4F4K_congruent,119,219,2,108,55.89,31.11,0.06,0.49,108,2720,Correct
4F4K_congruent,119,220,1,115,19.34,47.32,0.02,0.74,115,1094,Correct
4F4K_congruent,119,221,1,107,77.38,55.96,0.09,0.88,107,1238,Correct
4F4K_congruent,119,222,1,107,56.28,31.98,0.06,0.5,107,2019,Correct
4F4K_congruent,119,223,2,97,53.47,81.58,0.06,1.28,97,3033,Correct
4F4K_congruent,119,224,2,108,58.8,47.79,0.07,0.75,108,4092,Correct
4F4K_congruent,119,225,2,108,78.63,55.27,0.09,0.87,97,1141,Incorrect
4F4K_congruent,119,226,2,108,60.04,37.29,0.07,0.59,97,1623,Incorrect
4F4K_congruent,119,227,2,97,46.94,68.27,0.05,1.07,108,1555,Incorrect
4F4K_congruent,119,228,1,115,33.99,61.45,0.04,0.97,115,1127,Correct
4F4K_congruent,119,229,2,108,72.86,47.26,0.08,0.74,108,2235,Correct
4F4K_congruent,119,230,2,97,27.51,41.94,0.03,0.66,97,1244,Correct
4F4K_congruent,119,231,1,115,23.73,41.08,0.03,0.65,115,1971,Correct
4F4K_congruent,119,232,1,107,60.05,45.73,0.07,0.72,107,1682,Correct
4F4K_congruent,119,233,1,107,65.45,43.91,0.07,0.69,107,1076,Correct
4F4K_congruent,119,234,2,108,30.93,16.96,0.03,0.27,97,1609,Incorrect
4F4K_congruent,119,235,2,97,33.18,42.52,0.04,0.67,97,1072,Correct
4F4K_congruent,119,236,1,115,40.32,71.06,0.05,1.12,107,1848,Incorrect
4F4K_congruent,119,237,2,97,16.63,45.7,0.02,0.72,97,3416,Correct
4F4K_congruent,119,238,2,97,47.03,54.51,0.05,0.86,97,1437,Correct
4F4K_congruent,119,239,1,107,76.94,57.07,0.09,0.9,107,1211,Correct
4F4K_congruent,119,240,1,107,55.73,43.46,0.06,0.68,107,762,Correct
4F4K_congruent,119,241,2,97,60.75,82.36,0.07,1.29,97,2451,Correct
4F4K_congruent,119,242,1,107,61.24,41.84,0.07,0.66,107,8200,Correct
4F4K_congruent,119,243,1,115,46.2,64.18,0.05,1.01,107,1235,Incorrect
4F4K_congruent,119,244,2,97,55.38,66.29,0.06,1.04,97,6194,Correct
4F4K_congruent,119,245,2,97,30.3,54.93,0.03,0.86,97,2019,Correct
4F4K_congruent,119,246,1,107,52.31,20.99,0.06,0.33,107,1767,Correct
