condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
4F4K_incongruent,132,0,1,107,74.34,50.69,0.08,0.8,115,2656,Incorrect
4F4K_incongruent,132,1,2,108,20.66,48.5,0.02,0.76,108,2588,Correct
4F4K_incongruent,132,2,2,108,38.97,57.38,0.04,0.9,108,1048,Correct
4F4K_incongruent,132,3,2,97,45.63,28.25,0.05,0.44,97,830,Correct
4F4K_incongruent,132,4,1,107,79.58,58.22,0.09,0.91,107,787,Correct
4F4K_incongruent,132,5,1,107,59.8,33.93,0.07,0.53,115,540,Incorrect
4F4K_incongruent,132,6,1,115,50.87,71.24,0.06,1.12,107,2003,Incorrect
4F4K_incongruent,132,7,2,108,66.92,80.96,0.07,1.27,108,216,Correct
4F4K_incongruent,132,8,1,115,60.37,83.15,0.07,1.31,115,190,Correct
4F4K_incongruent,132,9,1,107,39.5,25.47,0.04,0.4,115,1810,Incorrect
4F4K_incongruent,132,10,1,115,67.9,85.03,0.08,1.34,115,1918,Correct
4F4K_incongruent,132,11,1,107,76.1,62.13,0.09,0.98,115,2271,Incorrect
4F4K_incongruent,132,12,2,108,32.4,51.85,0.04,0.81,108,1322,Correct
4F4K_incongruent,132,13,2,97,49.39,33.53,0.06,0.53,108,1617,Incorrect
4F4K_incongruent,132,14,2,97,52.04,35.14,0.06,0.55,97,1665,Correct
4F4K_incongruent,132,15,1,115,27.62,43.14,0.03,0.68,115,2119,Correct
4F4K_incongruent,132,16,2,97,35.27,17.02,0.04,0.27,97,1529,Correct
4F4K_incongruent,132,17,2,97,81.07,56.33,0.09,0.88,97,1425,Correct
4F4K_incongruent,132,18,2,97,39.48,28.95,0.04,0.45,97,1314,Correct
4F4K_incongruent,132,19,1,115,65.03,84.53,0.07,1.33,107,1403,Incorrect
4F4K_incongruent,132,20,1,115,39.03,48.24,0.04,0.76,115,1456,Correct
4F4K_incongruent,132,21,2,97,62.46,38.69,0.07,0.61,97,939,Correct
4F4K_incongruent,132,22,2,97,71.1,43.66,0.08,0.69,97,1109,Correct
4F4K_incongruent,132,23,2,97,43.67,32.98,0.05,0.52,97,755,Correct
4F4K_incongruent,132,24,2,97,41.01,24.6,0.05,0.39,97,770,Correct
4F4K_incongruent,132,25,2,97,74.91,42.9,0.08,0.67,97,770,Correct
4F4K_incongruent,132,26,2,97,71.21,41.4,0.08,0.65,97,1022,Correct
4F4K_incongruent,132,27,1,107,72.34,58.97,0.08,0.93,115,1162,Incorrect
4F4K_incongruent,132,28,1,107,67.09,46.79,0.08,0.73,107,933,Correct
4F4K_incongruent,132,29,1,115,34.43,46.43,0.04,0.73,107,1130,Incorrect
4F4K_incongruent,132,30,1,115,52.6,75.07,0.06,1.18,115,883,Correct
4F4K_incongruent,132,31,1,115,39.67,59.49,0.04,0.93,115,661,Correct
4F4K_incongruent,132,32,2,97,59.0,26.52,0.07,0.42,97,1597,Correct
4F4K_incongruent,132,33,1,115,37.25,51.55,0.04,0.81,115,882,Correct
4F4K_incongruent,132,34,1,107,63.26,48.43,0.07,0.76,115,814,Incorrect
4F4K_incongruent,132,35,1,115,13.67,38.65,0.02,0.61,107,1211,Incorrect
4F4K_incongruent,132,36,1,115,44.61,66.1,0.05,1.04,115,831,Correct
4F4K_incongruent,132,37,1,115,45.08,76.13,0.05,1.2,115,824,Correct
4F4K_incongruent,132,38,2,108,24.66,55.53,0.03,0.87,108,1762,Correct
4F4K_incongruent,132,39,1,107,48.86,32.52,0.05,0.51,107,3798,Correct
4F4K_incongruent,132,40,1,107,74.76,59.13,0.08,0.93,107,1356,Correct
4F4K_incongruent,132,41,1,115,50.27,61.05,0.06,0.96,107,570,Incorrect
4F4K_incongruent,132,42,2,97,70.68,42.55,0.08,0.67,97,792,Correct
4F4K_incongruent,132,43,2,97,55.35,30.97,0.06,0.49,97,816,Correct
4F4K_incongruent,132,44,2,97,62.15,39.36,0.07,0.62,97,765,Correct
4F4K_incongruent,132,45,2,108,64.54,85.37,0.07,1.34,108,1166,Correct
4F4K_incongruent,132,46,1,107,39.64,18.23,0.04,0.29,115,2626,Correct
4F4K_incongruent,132,47,1,115,42.91,51.1,0.05,0.8,107,928,Incorrect
4F4K_incongruent,132,48,1,115,26.69,43.6,0.03,0.68,115,1119,Correct
4F4K_incongruent,132,49,1,115,22.42,41.69,0.03,0.65,115,614,Correct
4F4K_incongruent,132,50,2,97,78.75,65.65,0.09,1.03,108,578,Incorrect
4F4K_incongruent,132,51,1,115,69.07,85.62,0.08,1.34,115,2059,Correct
4F4K_incongruent,132,52,2,97,48.57,38.18,0.05,0.6,108,1390,Incorrect
4F4K_incongruent,132,53,1,107,74.56,63.25,0.08,0.99,115,1431,Incorrect
4F4K_incongruent,132,54,1,115,35.31,46.48,0.04,0.73,115,1197,Correct
4F4K_incongruent,132,55,2,108,29.96,53.45,0.03,0.84,97,1288,Incorrect
4F4K_incongruent,132,56,1,115,59.77,77.11,0.07,1.21,107,1012,Incorrect
4F4K_incongruent,132,57,1,115,35.44,56.23,0.04,0.88,115,862,Correct
4F4K_incongruent,132,58,2,97,53.85,32.02,0.06,0.5,108,1989,Incorrect
4F4K_incongruent,132,59,1,107,88.4,66.85,0.1,1.05,107,2364,Correct
4F4K_incongruent,132,60,2,97,51.49,25.83,0.06,0.41,97,1161,Correct
4F4K_incongruent,132,61,1,115,32.67,42.58,0.04,0.67,115,1048,Correct
4F4K_incongruent,132,62,1,107,73.98,51.12,0.08,0.8,107,921,Correct
4F4K_incongruent,132,63,1,107,69.55,45.47,0.08,0.71,107,2090,Correct
4F4K_incongruent,132,64,1,115,52.35,66.74,0.06,1.05,115,1620,Correct
4F4K_incongruent,132,65,2,108,40.68,68.24,0.05,1.07,108,1048,Correct
4F4K_incongruent,132,66,2,97,68.57,39.56,0.08,0.62,108,1143,Incorrect
4F4K_incongruent,132,67,1,107,79.74,64.95,0.09,1.02,107,679,Correct
4F4K_incongruent,132,68,2,108,53.99,64.32,0.06,1.01,97,792,Incorrect
