participant,session,date,expName,routine,rat_id,trial,cage_context,scent,choice.keys,choice,reward,choice.rt,reaction_time,maze_run_time,browser,os,frameRate,experiment
rat_01,1,2026-03-22_1713,tmaze_learning,break,1,50,,,,,,,,,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,break,1,100,,,,,,,,,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,break,1,150,,,,,,,,,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,break,1,200,,,,,,,,,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,instructions,1,,,,,,,,,,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,1,mesh,none,right,R,1,0.723731659190423,0.723731659190423,3.3107541247719663,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,2,mesh,peppermint,left,L,0,1.0457391294163332,1.0457391294163332,3.8478980800567744,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,3,wood,lemon,right,R,1,0.6564628692817525,0.6564628692817525,2.3471169857782144,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,4,wood,peppermint,right,R,0,0.34937788539865566,0.34937788539865566,3.814801111153571,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,5,mesh,peppermint,right,R,1,0.43580497131615054,0.43580497131615054,2.515100387465029,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,6,mesh,peppermint,right,R,0,0.2486507932530674,0.2486507932530674,2.6526129681288784,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,7,mesh,lemon,right,R,0,0.4618073608889333,0.4618073608889333,2.8835512940503074,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,8,wood,lemon,right,R,1,0.4252433237818321,0.4252433237818321,3.4581545532517297,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,9,wood,lemon,left,L,1,0.5752091141332714,0.5752091141332714,2.6385514674279986,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,10,mesh,lemon,left,L,1,0.9258376502714436,0.9258376502714436,2.6821746963986763,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,11,wood,peppermint,right,R,0,0.4760206182378197,0.4760206182378197,3.2645351721238582,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,12,mesh,none,right,R,0,0.43297287826089353,0.43297287826089353,4.082753945882218,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,13,wood,peppermint,right,R,0,0.9586719149627477,0.9586719149627477,2.9008837503301077,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,14,mesh,peppermint,left,L,0,0.7608211023059016,0.7608211023059016,2.707187930159461,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,15,mesh,lemon,right,R,0,0.4780755160109752,0.4780755160109752,4.6603340793587815,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,16,wood,lemon,right,R,0,0.33266257678387695,0.33266257678387695,4.156438647150145,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,17,wood,lemon,right,R,1,0.3412333694955131,0.3412333694955131,2.403035997614204,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,18,wood,peppermint,right,R,0,0.8706035925134166,0.8706035925134166,2.3483146338237924,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,19,wood,lemon,right,R,0,0.8365556055727427,0.8365556055727427,3.1788025739447843,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,20,mesh,lemon,right,R,0,0.40405434453614175,0.40405434453614175,4.015346149548676,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,21,mesh,peppermint,left,L,0,,0.278016618090416,3.486511191997617,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,22,wood,lemon,right,R,1,1.2118047479115122,1.2118047479115122,4.570673087203171,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,23,wood,lemon,right,R,0,0.413954772021774,0.413954772021774,3.449535812131492,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,24,mesh,lemon,right,R,0,1.1329409400218993,1.1329409400218993,4.115142847939349,Firefox,Linux,58.93,exp1
rat_01,1,2026-03-22_1713,tmaze_learning,trial,1,25,mesh,peppermint,left,L,0,0.30566095178338065,0.30566095178338065,4.011320788766957,Firefox,Linux,58.93,exp1
