participant,session,date,expName,routine,rat_id,trial,cage_context,scent,choice.keys,choice,reward,choice.rt,reaction_time,maze_run_time,browser,os,frameRate,experiment
rat_11,2,2026-03-22_1713,tmaze_learning,break,11,50,,,,,,,,,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,break,11,100,,,,,,,,,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,break,11,150,,,,,,,,,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,break,11,200,,,,,,,,,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,instructions,11,,,,,,,,,,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,1,wood,peppermint,right,R,0,0.86431841728304,0.86431841728304,3.342581989265619,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,2,mesh,peppermint,left,L,1,0.7205031497578016,0.7205031497578016,3.6600533390297594,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,3,mesh,none,left,L,1,0.712474243079766,0.712474243079766,2.926559138385916,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,4,wood,lemon,right,R,0,0.2,0.2,4.266560621336022,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,5,mesh,none,right,R,1,0.567119778253301,0.567119778253301,3.0454153809559945,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,6,wood,peppermint,right,R,0,0.7283441198435433,0.7283441198435433,3.854594844241391,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,7,wood,none,right,R,1,0.45477863522130413,0.45477863522130413,3.50772339870847,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,8,wood,lemon,right,R,0,0.32806708193972145,0.32806708193972145,3.6055702972886126,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,9,mesh,lemon,right,R,1,0.453809861649648,0.453809861649648,3.1379564405156386,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,10,wood,none,right,R,0,0.7527374384886925,0.7527374384886925,3.976998798059851,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,11,wood,lemon,left,L,1,0.6682868987660703,0.6682868987660703,2.639385677540723,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,12,mesh,peppermint,right,R,0,0.48987275862587876,0.48987275862587876,3.1656328417907256,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,13,mesh,peppermint,right,R,0,0.2459370808130563,0.2459370808130563,3.7584717973196216,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,14,wood,lemon,right,R,1,0.6983417743143094,0.6983417743143094,4.151570277272375,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,15,mesh,lemon,left,L,1,0.49701946188017226,0.49701946188017226,3.2287020562067945,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,16,wood,lemon,right,R,1,0.6566339736944652,0.6566339736944652,2.419061176787703,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,17,mesh,peppermint,left,L,0,0.6853176958547208,0.6853176958547208,3.5221144246052316,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,18,mesh,lemon,right,R,0,0.46518282663258326,0.46518282663258326,3.3048115602524466,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,19,wood,lemon,right,R,1,0.5179706415762111,0.5179706415762111,2.5488618552356397,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,20,wood,peppermint,right,R,0,0.46938592997190864,0.46938592997190864,3.109250644211955,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,21,mesh,none,right,R,1,0.7376246320998002,0.7376246320998002,2.525823257404468,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,22,wood,lemon,right,R,1,0.2,0.2,3.036204025523473,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,23,wood,peppermint,right,R,0,1.1984953911559078,1.1984953911559078,3.382,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,24,mesh,peppermint,right,R,0,0.6579371297418496,0.6579371297418496,3.8835408657136212,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,25,mesh,lemon,left,L,0,0.5372730636755372,0.5372730636755372,3.6197869271035104,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,26,mesh,peppermint,left,L,1,0.3582056479065374,0.3582056479065374,3.3870961962660333,Safari,Windows,56.98,exp1
rat_11,2,2026-03-22_1713,tmaze_learning,trial,11,27,wood,peppermint,left,L,1,0.47028337613217425,0.47028337613217425,3.1885417767035893,Safari,Windows,56.98,exp1
