participant,session,date,expName,routine,rat_id,trial,cage_context,scent,choice.keys,choice,reward,choice.rt,reaction_time,maze_run_time,browser,os,frameRate,experiment
rat_22,1,2026-03-22_1618,tmaze_learning,break,22,50,,,,,,,,,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,break,22,100,,,,,,,,,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,break,22,150,,,,,,,,,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,break,22,200,,,,,,,,,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,instructions,22,,,,,,,,,,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,trial,22,1,wood,lemon,left,L,1,0.4525844350869565,0.4525844350869565,3.386,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,trial,22,2,wood,none,left,L,1,1.0880819121822027,1.0880819121822027,2.256831688104777,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,trial,22,3,wood,peppermint,left,L,1,0.8138026430694687,0.8138026430694687,2.4987655683459935,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,trial,22,4,mesh,lemon,left,L,1,0.7828497756123773,0.7828497756123773,2.3413548645470206,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,trial,22,5,wood,lemon,left,L,0,0.6758403089426461,0.6758403089426461,2.9243486203645186,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,trial,22,6,mesh,lemon,right,R,0,0.9713947028787397,0.9713947028787397,3.8432648346733145,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,trial,22,7,mesh,lemon,right,R,0,0.7024114247378827,0.7024114247378827,4.058357425426287,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,trial,22,8,mesh,peppermint,left,L,0,1.0738643439489743,1.0738643439489743,3.376610898652795,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,trial,22,9,mesh,lemon,right,R,1,,0.7661561611051358,3.397318561257607,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,trial,22,10,wood,none,left,L,1,0.6891912589438495,0.6891912589438495,2.9694646808364373,Safari,Linux,61.31,exp1
rat_22,1,2026-03-22_1618,tmaze_learning,trial,22,11,wood,none,left,L,1,0.9454661501493592,0.9454661501493592,2.5798092692588543,Safari,Linux,61.31,exp1
