sub_id,group,day,block,sequence_type,mean_rt,prop_correct
19,older,1,1,predictable,567.36,0.918
19,older,1,2,random,571.67,0.8971
19,older,1,3,predictable,550.04,0.9678
19,older,1,4,random,502.38,0.8917
19,older,2,5,predictable,486.54,0.9763
19,older,2,6,random,558.91,0.9646
19,older,2,7,predictable,537.45,0.9632
19,older,2,8,random,559.54,0.9155
19,older,3,9,predictable,482.39,1.0
19,older,3,10,random,550.73,0.9618
19,older,3,11,predictable,490.96,0.8885
19,older,3,12,random,549.93,0.8891
19,older,4,13,predictable,503.7,0.9809
19,older,4,14,random,547.41,0.9539
19,older,4,15,predictable,491.39,0.9249
19,older,4,16,random,537.44,0.8731
19,older,5,17,predictable,491.34,0.9552
19,older,5,18,random,545.07,0.9654
19,older,5,19,predictable,517.83,0.93
19,older,5,20,random,536.05,0.9366
19,older,6,21,predictable,499.16,0.9187
19,older,6,22,random,566.68,0.9158
19,older,6,23,predictable,519.21,0.9795
19,older,6,24,random,556.86,0.9406
19,older,7,25,predictable,465.52,0.9452
19,older,7,26,random,522.02,0.92
19,older,7,27,predictable,467.71,0.9077
19,older,7,28,random,552.19,0.9357
19,older,8,29,predictable,479.76,0.9275
19,older,8,30,random,534.31,0.9122
19,older,8,31,predictable,516.79,0.932
19,older,8,32,random,553.6,0.9127
19,older,9,33,predictable,486.46,0.909
19,older,9,34,random,539.86,0.9018
19,older,9,35,predictable,518.61,0.9259
19,older,9,36,random,500.82,0.9485
19,older,10,37,predictable,511.94,0.9256
19,older,10,38,random,519.69,0.8394
19,older,10,39,predictable,478.33,0.9835
19,older,10,40,random,556.41,0.9391
19,older,11,41,predictable,438.47,0.9205
19,older,11,42,random,532.15,0.9031
19,older,11,43,predictable,469.17,0.9146
19,older,11,44,random,563.56,0.8966
19,older,12,45,predictable,464.77,0.919
19,older,12,46,random,534.34,0.954
19,older,12,47,predictable,490.42,0.9425
19,older,12,48,random,556.38,0.9872
19,older,13,49,predictable,471.98,0.9443
19,older,13,50,random,524.88,0.9226
19,older,13,51,predictable,435.98,0.8954
19,older,13,52,random,564.48,0.8664
19,older,14,53,predictable,431.41,0.9742
19,older,14,54,random,548.83,0.9452
19,older,14,55,predictable,481.46,0.948
19,older,14,56,random,557.8,0.9143
19,older,15,57,predictable,425.61,0.9504
19,older,15,58,random,568.67,0.9009
19,older,15,59,predictable,487.02,0.9158
19,older,15,60,random,551.56,0.9306
