sub_id,group,day,block,sequence_type,mean_rt,prop_correct
4,young,1,1,predictable,392.28,0.9282
4,young,1,2,random,394.87,0.9237
4,young,1,3,predictable,388.12,0.9375
4,young,1,4,random,366.41,0.891
4,young,2,5,predictable,349.62,0.9281
4,young,2,6,random,398.27,0.9442
4,young,2,7,predictable,329.87,0.9333
4,young,2,8,random,382.11,0.9265
4,young,3,9,predictable,311.58,0.8963
4,young,3,10,random,389.16,0.9218
4,young,3,11,predictable,350.75,0.9447
4,young,3,12,random,375.38,0.9117
4,young,4,13,predictable,313.25,0.9746
4,young,4,14,random,401.32,0.9043
4,young,4,15,predictable,290.44,0.9116
4,young,4,16,random,413.58,0.9453
4,young,5,17,predictable,316.94,0.9144
4,young,5,18,random,408.23,0.9007
4,young,5,19,predictable,309.76,0.9003
4,young,5,20,random,395.31,0.9741
4,young,6,21,predictable,302.08,0.973
4,young,6,22,random,388.31,0.921
4,young,6,23,predictable,308.48,1.0
4,young,6,24,random,382.51,0.962
4,young,7,25,predictable,294.36,0.9207
4,young,7,26,random,379.61,0.925
4,young,7,27,predictable,292.99,0.9416
4,young,7,28,random,386.79,0.9312
4,young,8,29,predictable,304.57,0.921
4,young,8,30,random,428.3,0.9026
4,young,8,31,predictable,306.01,0.952
4,young,8,32,random,364.54,0.9217
4,young,9,33,predictable,256.45,0.9392
4,young,9,34,random,385.37,0.9549
4,young,9,35,predictable,309.21,0.9554
4,young,9,36,random,358.57,0.9129
4,young,10,37,predictable,271.79,0.9752
4,young,10,38,random,383.91,0.8909
4,young,10,39,predictable,311.92,0.933
4,young,10,40,random,356.17,0.9655
4,young,11,41,predictable,289.8,0.9874
4,young,11,42,random,345.64,0.8728
4,young,11,43,predictable,262.09,0.9262
4,young,11,44,random,385.61,0.8767
4,young,12,45,predictable,289.14,0.9466
4,young,12,46,random,386.16,0.908
4,young,12,47,predictable,292.79,0.9152
4,young,12,48,random,403.84,0.9553
4,young,13,49,predictable,263.8,0.9088
4,young,13,50,random,380.93,0.9133
4,young,13,51,predictable,301.86,0.9008
4,young,13,52,random,375.85,0.9562
4,young,14,53,predictable,278.39,0.917
4,young,14,54,random,367.32,0.9303
4,young,14,55,predictable,277.32,0.9334
4,young,14,56,random,386.71,0.9534
4,young,15,57,predictable,253.91,0.9737
4,young,15,58,random,377.42,0.8858
4,young,15,59,predictable,289.87,0.9097
4,young,15,60,random,369.23,0.962
