sub_id,group,day,block,sequence_type,mean_rt,prop_correct
12,young,1,1,predictable,385.56,0.9375
12,young,1,2,random,400.54,0.9232
12,young,1,3,predictable,404.39,0.9252
12,young,1,4,random,384.05,0.908
12,young,2,5,predictable,351.05,0.9774
12,young,2,6,random,395.93,0.9398
12,young,2,7,predictable,364.51,0.9389
12,young,2,8,random,368.6,0.8789
12,young,3,9,predictable,351.34,0.9476
12,young,3,10,random,412.65,0.9676
12,young,3,11,predictable,364.4,0.8858
12,young,3,12,random,388.05,0.9482
12,young,4,13,predictable,337.86,0.9782
12,young,4,14,random,398.61,0.8958
12,young,4,15,predictable,335.58,0.9105
12,young,4,16,random,403.53,0.978
12,young,5,17,predictable,305.66,0.9799
12,young,5,18,random,394.29,0.8914
12,young,5,19,predictable,317.08,0.9206
12,young,5,20,random,409.71,0.898
12,young,6,21,predictable,328.02,0.9104
12,young,6,22,random,422.13,0.9314
12,young,6,23,predictable,308.96,0.8989
12,young,6,24,random,413.52,0.9826
12,young,7,25,predictable,280.36,0.961
12,young,7,26,random,396.8,0.9242
12,young,7,27,predictable,310.92,0.8877
12,young,7,28,random,409.71,0.9559
12,young,8,29,predictable,310.61,0.9601
12,young,8,30,random,398.13,0.8654
12,young,8,31,predictable,296.64,0.9622
12,young,8,32,random,419.63,0.9821
12,young,9,33,predictable,291.31,0.9243
12,young,9,34,random,393.53,0.947
12,young,9,35,predictable,277.4,0.9369
12,young,9,36,random,418.38,0.9125
12,young,10,37,predictable,311.9,0.9674
12,young,10,38,random,425.55,0.9329
12,young,10,39,predictable,303.09,0.9313
12,young,10,40,random,399.38,0.9143
12,young,11,41,predictable,284.32,0.9291
12,young,11,42,random,393.51,0.9315
12,young,11,43,predictable,292.16,0.9759
12,young,11,44,random,414.73,0.9292
12,young,12,45,predictable,307.63,0.9125
12,young,12,46,random,376.68,0.9367
12,young,12,47,predictable,287.76,0.9423
12,young,12,48,random,423.05,0.9128
12,young,13,49,predictable,292.26,0.9278
12,young,13,50,random,408.36,0.8697
12,young,13,51,predictable,274.16,0.9182
12,young,13,52,random,397.4,1.0
12,young,14,53,predictable,290.54,1.0
12,young,14,54,random,409.28,0.8671
12,young,14,55,predictable,288.41,0.924
12,young,14,56,random,444.97,0.8993
12,young,15,57,predictable,282.25,0.9709
12,young,15,58,random,417.18,0.855
12,young,15,59,predictable,288.24,0.9525
12,young,15,60,random,400.52,0.8759
