sub_id,group,day,block,sequence_type,mean_rt,prop_correct
22,older,1,1,predictable,566.65,0.9574
22,older,1,2,random,562.62,0.9272
22,older,1,3,predictable,550.75,0.9898
22,older,1,4,random,592.48,0.8938
22,older,2,5,predictable,553.92,0.9283
22,older,2,6,random,553.15,0.9396
22,older,2,7,predictable,571.95,0.9384
22,older,2,8,random,567.19,0.9429
22,older,3,9,predictable,524.76,0.8944
22,older,3,10,random,522.57,0.939
22,older,3,11,predictable,534.35,0.9471
22,older,3,12,random,589.29,0.9211
22,older,4,13,predictable,501.99,0.908
22,older,4,14,random,599.29,0.9458
22,older,4,15,predictable,519.99,0.944
22,older,4,16,random,570.38,0.9603
22,older,5,17,predictable,484.22,0.907
22,older,5,18,random,567.97,0.9248
22,older,5,19,predictable,500.03,0.9285
22,older,5,20,random,578.03,0.9158
22,older,6,21,predictable,496.4,0.9318
22,older,6,22,random,548.45,0.9433
22,older,6,23,predictable,523.45,0.9492
22,older,6,24,random,569.93,0.9517
22,older,7,25,predictable,510.46,0.9538
22,older,7,26,random,545.72,0.9647
22,older,7,27,predictable,492.0,0.9217
22,older,7,28,random,597.08,0.9026
22,older,8,29,predictable,464.87,0.9439
22,older,8,30,random,575.01,0.9211
22,older,8,31,predictable,532.71,0.8935
22,older,8,32,random,603.1,0.9151
22,older,9,33,predictable,486.2,0.9579
22,older,9,34,random,554.24,0.9331
22,older,9,35,predictable,501.87,0.9554
22,older,9,36,random,568.49,0.9713
22,older,10,37,predictable,512.7,0.9267
22,older,10,38,random,583.77,0.9395
22,older,10,39,predictable,469.69,0.9469
22,older,10,40,random,551.86,0.8898
22,older,11,41,predictable,500.83,0.9473
22,older,11,42,random,547.28,0.9269
22,older,11,43,predictable,481.98,0.9666
22,older,11,44,random,545.52,0.9247
22,older,12,45,predictable,454.96,0.9394
22,older,12,46,random,588.23,0.8812
22,older,12,47,predictable,465.16,0.9162
22,older,12,48,random,578.68,0.9309
22,older,13,49,predictable,490.96,0.8978
22,older,13,50,random,561.31,0.8832
22,older,13,51,predictable,486.63,0.9116
22,older,13,52,random,611.78,0.8846
22,older,14,53,predictable,516.59,0.9302
22,older,14,54,random,553.16,0.9266
22,older,14,55,predictable,493.24,0.9181
22,older,14,56,random,576.26,0.936
22,older,15,57,predictable,477.15,0.9389
22,older,15,58,random,568.55,0.9495
22,older,15,59,predictable,460.92,0.9671
22,older,15,60,random,565.57,0.9669
