bird_id,group,phase,block,trial,correct,rt
10,experimental,learn,1,1,0,0.7477
10,experimental,learn,1,2,0,0.8438
10,experimental,learn,1,3,1,0.5574
10,experimental,learn,1,4,0,0.7258
10,experimental,learn,1,5,1,0.6068
10,experimental,learn,1,6,0,0.9983
10,experimental,learn,1,7,1,0.7671
10,experimental,learn,1,8,1,0.675
10,experimental,learn,1,9,1,0.7949
10,experimental,learn,1,10,0,0.9284
10,experimental,learn,2,11,0,0.9316
10,experimental,learn,2,12,0,0.8897
10,experimental,learn,2,13,1,0.5166
10,experimental,learn,2,14,1,0.6437
10,experimental,learn,2,15,0,0.8337
10,experimental,learn,2,16,1,0.7641
10,experimental,learn,2,17,0,0.9581
10,experimental,learn,2,18,1,0.5078
10,experimental,learn,2,19,1,0.5275
10,experimental,learn,2,20,1,0.6435
10,experimental,learn,3,21,1,0.4999
10,experimental,learn,3,22,1,0.6128
10,experimental,learn,3,23,0,0.8075
10,experimental,learn,3,24,1,0.6684
10,experimental,learn,3,25,0,0.727
10,experimental,learn,3,26,0,1.0557
10,experimental,learn,3,27,0,0.6511
10,experimental,learn,3,28,1,0.5614
10,experimental,learn,3,29,1,0.5896
10,experimental,learn,3,30,0,1.0711
10,experimental,learn,4,31,0,0.9387
10,experimental,learn,4,32,1,0.4371
10,experimental,learn,4,33,1,0.5086
10,experimental,learn,4,34,1,0.6974
10,experimental,learn,4,35,1,0.6633
10,experimental,learn,4,36,0,1.0372
10,experimental,learn,4,37,0,0.9947
10,experimental,learn,4,38,1,0.643
10,experimental,learn,4,39,1,0.7339
10,experimental,learn,4,40,1,0.7893
10,experimental,learn,5,41,0,1.0152
10,experimental,learn,5,42,0,0.8828
10,experimental,learn,5,43,1,0.745
10,experimental,learn,5,44,1,0.7569
10,experimental,learn,5,45,1,0.6097
10,experimental,learn,5,46,1,0.6427
10,experimental,learn,5,47,1,0.664
10,experimental,learn,5,48,1,0.699
10,experimental,learn,5,49,0,0.8841
10,experimental,learn,5,50,1,0.4932
10,experimental,learn,6,51,1,0.5627
10,experimental,learn,6,52,1,0.4157
10,experimental,learn,6,53,0,0.8442
10,experimental,learn,6,54,1,0.595
10,experimental,learn,6,55,1,0.7531
10,experimental,learn,6,56,0,1.0775
10,experimental,learn,6,57,1,0.6349
10,experimental,learn,6,58,1,0.4893
10,experimental,learn,6,59,1,0.5773
10,experimental,learn,6,60,1,0.576
10,experimental,learn,7,61,1,0.4779
10,experimental,learn,7,62,1,0.5191
10,experimental,learn,7,63,1,0.5496
10,experimental,learn,7,64,0,0.8882
10,experimental,learn,7,65,1,0.7283
10,experimental,learn,7,66,0,0.8748
10,experimental,learn,7,67,0,0.9046
10,experimental,learn,7,68,1,0.4969
10,experimental,learn,7,69,1,0.7658
10,experimental,learn,7,70,0,0.9726
10,experimental,learn,8,71,1,0.6674
10,experimental,learn,8,72,1,0.8788
10,experimental,learn,8,73,1,0.6713
10,experimental,learn,8,74,1,0.5418
10,experimental,learn,8,75,0,0.8168
10,experimental,learn,8,76,1,0.6022
10,experimental,learn,8,77,1,0.7527
10,experimental,learn,8,78,0,0.9328
10,experimental,learn,8,79,1,0.6264
10,experimental,learn,8,80,1,0.4102
10,experimental,learn,9,81,1,0.4627
10,experimental,learn,9,82,0,0.9604
10,experimental,learn,9,83,0,1.0187
10,experimental,learn,9,84,1,0.5837
10,experimental,learn,9,85,1,0.6507
10,experimental,learn,9,86,1,0.7591
10,experimental,learn,9,87,1,0.813
10,experimental,learn,9,88,1,0.6432
10,experimental,learn,9,89,1,0.7582
10,experimental,learn,9,90,1,0.7793
10,experimental,learn,10,91,1,0.8015
10,experimental,learn,10,92,1,0.6957
10,experimental,learn,10,93,1,0.4689
10,experimental,learn,10,94,1,0.3808
10,experimental,learn,10,95,1,0.7768
10,experimental,learn,10,96,0,0.9542
10,experimental,learn,10,97,1,0.5476
10,experimental,learn,10,98,1,0.5224
10,experimental,learn,10,99,0,0.8206
10,experimental,learn,10,100,1,0.527
10,experimental,reverse,1,101,1,1.035
10,experimental,reverse,1,102,0,1.0342
10,experimental,reverse,1,103,1,0.8772
10,experimental,reverse,1,104,0,1.3574
10,experimental,reverse,1,105,0,1.271
10,experimental,reverse,1,106,0,1.2554
10,experimental,reverse,1,107,0,1.0534
10,experimental,reverse,1,108,0,1.3928
10,experimental,reverse,1,109,1,0.7341
10,experimental,reverse,1,110,1,0.755
10,experimental,reverse,2,111,0,1.221
10,experimental,reverse,2,112,1,0.8187
10,experimental,reverse,2,113,1,0.9367
10,experimental,reverse,2,114,1,0.8703
10,experimental,reverse,2,115,0,1.3514
10,experimental,reverse,2,116,1,1.0985
10,experimental,reverse,2,117,0,1.3489
10,experimental,reverse,2,118,0,1.1741
10,experimental,reverse,2,119,0,1.3321
10,experimental,reverse,2,120,1,1.032
10,experimental,reverse,3,121,1,1.0731
10,experimental,reverse,3,122,0,1.3028
10,experimental,reverse,3,123,0,1.2828
10,experimental,reverse,3,124,0,1.0503
10,experimental,reverse,3,125,1,1.0805
10,experimental,reverse,3,126,1,0.9079
10,experimental,reverse,3,127,0,1.284
10,experimental,reverse,3,128,0,1.1907
10,experimental,reverse,3,129,0,1.054
10,experimental,reverse,3,130,0,1.2413
10,experimental,reverse,4,131,0,0.6132
10,experimental,reverse,4,132,1,0.4829
10,experimental,reverse,4,133,1,0.5021
10,experimental,reverse,4,134,0,0.7251
10,experimental,reverse,4,135,1,0.5477
10,experimental,reverse,4,136,1,0.7279
10,experimental,reverse,4,137,0,0.8813
10,experimental,reverse,4,138,1,0.6301
10,experimental,reverse,4,139,1,0.433
10,experimental,reverse,4,140,0,1.1507
10,experimental,reverse,5,141,0,0.6369
10,experimental,reverse,5,142,0,0.9755
10,experimental,reverse,5,143,0,1.156
10,experimental,reverse,5,144,1,0.4883
10,experimental,reverse,5,145,0,0.6507
10,experimental,reverse,5,146,0,1.0312
10,experimental,reverse,5,147,1,0.3669
10,experimental,reverse,5,148,1,0.5552
10,experimental,reverse,5,149,0,1.1347
10,experimental,reverse,5,150,1,0.7474
10,experimental,reverse,6,151,1,0.6955
10,experimental,reverse,6,152,1,0.5088
10,experimental,reverse,6,153,0,0.7053
10,experimental,reverse,6,154,0,0.8976
10,experimental,reverse,6,155,1,0.3156
10,experimental,reverse,6,156,1,0.3958
10,experimental,reverse,6,157,0,0.9654
10,experimental,reverse,6,158,0,1.0474
10,experimental,reverse,6,159,1,0.6217
10,experimental,reverse,6,160,1,0.6628
10,experimental,reverse,7,161,1,0.5197
10,experimental,reverse,7,162,1,0.8836
10,experimental,reverse,7,163,1,0.7316
10,experimental,reverse,7,164,1,0.5519
10,experimental,reverse,7,165,1,0.6882
10,experimental,reverse,7,166,1,0.6939
10,experimental,reverse,7,167,1,0.5106
10,experimental,reverse,7,168,1,0.4834
10,experimental,reverse,7,169,0,0.9105
10,experimental,reverse,7,170,1,0.7042
10,experimental,reverse,8,171,1,0.6396
10,experimental,reverse,8,172,1,0.5855
10,experimental,reverse,8,173,1,0.5716
10,experimental,reverse,8,174,0,0.8841
10,experimental,reverse,8,175,1,0.513
10,experimental,reverse,8,176,0,0.7562
10,experimental,reverse,8,177,1,0.5344
10,experimental,reverse,8,178,1,0.5818
10,experimental,reverse,8,179,1,0.4588
10,experimental,reverse,8,180,1,0.6245
10,experimental,reverse,9,181,1,0.6729
10,experimental,reverse,9,182,1,0.5338
10,experimental,reverse,9,183,1,0.6257
10,experimental,reverse,9,184,0,0.9139
10,experimental,reverse,9,185,1,0.4811
10,experimental,reverse,9,186,1,0.6066
10,experimental,reverse,9,187,1,0.4528
10,experimental,reverse,9,188,1,0.6485
10,experimental,reverse,9,189,1,0.6706
10,experimental,reverse,9,190,1,0.6034
10,experimental,reverse,10,191,1,0.4112
10,experimental,reverse,10,192,1,0.7248
10,experimental,reverse,10,193,0,0.8525
10,experimental,reverse,10,194,1,0.4164
10,experimental,reverse,10,195,0,0.8357
10,experimental,reverse,10,196,1,0.6686
10,experimental,reverse,10,197,0,0.7606
10,experimental,reverse,10,198,1,0.6406
10,experimental,reverse,10,199,1,0.6493
10,experimental,reverse,10,200,1,0.6113
10,experimental,test,1,201,1,0.5193
10,experimental,test,1,202,1,0.6249
10,experimental,test,1,203,1,0.3882
10,experimental,test,1,204,1,0.6997
10,experimental,test,1,205,1,0.7151
10,experimental,test,1,206,1,0.5934
10,experimental,test,1,207,1,0.5918
10,experimental,test,1,208,1,0.6296
10,experimental,test,1,209,0,0.8349
10,experimental,test,1,210,1,0.7039
10,experimental,test,2,211,1,0.4079
10,experimental,test,2,212,0,0.9673
10,experimental,test,2,213,1,0.6799
10,experimental,test,2,214,1,0.726
10,experimental,test,2,215,1,0.5497
10,experimental,test,2,216,0,0.8216
10,experimental,test,2,217,1,0.4556
10,experimental,test,2,218,1,0.5657
10,experimental,test,2,219,1,0.6551
10,experimental,test,2,220,1,0.6452
10,experimental,test,3,221,1,0.5582
10,experimental,test,3,222,1,0.57
10,experimental,test,3,223,1,0.4235
10,experimental,test,3,224,0,0.9016
10,experimental,test,3,225,1,0.5213
10,experimental,test,3,226,1,0.5784
10,experimental,test,3,227,1,0.6456
10,experimental,test,3,228,1,0.5778
10,experimental,test,3,229,1,0.6002
10,experimental,test,3,230,1,0.7072
10,experimental,test,4,231,1,0.5461
10,experimental,test,4,232,1,0.4958
10,experimental,test,4,233,1,0.5659
10,experimental,test,4,234,1,0.522
10,experimental,test,4,235,1,0.6373
10,experimental,test,4,236,0,0.9713
10,experimental,test,4,237,1,0.4399
10,experimental,test,4,238,1,0.4956
10,experimental,test,4,239,1,0.6739
10,experimental,test,4,240,1,0.6764
10,experimental,test,5,241,0,0.8054
10,experimental,test,5,242,1,0.5141
10,experimental,test,5,243,1,0.5247
10,experimental,test,5,244,1,0.7443
10,experimental,test,5,245,1,0.5547
10,experimental,test,5,246,1,0.56
10,experimental,test,5,247,1,0.4298
10,experimental,test,5,248,1,0.6782
10,experimental,test,5,249,1,0.5756
10,experimental,test,5,250,1,0.5174
10,experimental,test,6,251,1,0.6386
10,experimental,test,6,252,1,0.4407
10,experimental,test,6,253,1,0.436
10,experimental,test,6,254,1,0.4593
10,experimental,test,6,255,1,0.4213
10,experimental,test,6,256,0,0.8329
10,experimental,test,6,257,1,0.6589
10,experimental,test,6,258,1,0.5755
10,experimental,test,6,259,1,0.5602
10,experimental,test,6,260,1,0.6548
10,experimental,test,7,261,1,0.8133
10,experimental,test,7,262,1,0.6763
10,experimental,test,7,263,1,0.3448
10,experimental,test,7,264,1,0.6423
10,experimental,test,7,265,1,0.541
10,experimental,test,7,266,1,0.6194
10,experimental,test,7,267,1,0.4331
10,experimental,test,7,268,1,0.4563
10,experimental,test,7,269,0,0.7811
10,experimental,test,7,270,1,0.5057
10,experimental,test,8,271,1,0.5456
10,experimental,test,8,272,1,0.5337
10,experimental,test,8,273,0,0.5699
10,experimental,test,8,274,1,0.5548
10,experimental,test,8,275,1,0.6131
10,experimental,test,8,276,1,0.6993
10,experimental,test,8,277,1,0.8096
10,experimental,test,8,278,1,0.5275
10,experimental,test,8,279,1,0.6806
10,experimental,test,8,280,0,0.9133
10,experimental,test,9,281,1,0.5905
10,experimental,test,9,282,1,0.5272
10,experimental,test,9,283,1,0.6982
10,experimental,test,9,284,1,0.7604
10,experimental,test,9,285,0,0.8205
10,experimental,test,9,286,1,0.3972
10,experimental,test,9,287,1,0.5307
10,experimental,test,9,288,1,0.582
10,experimental,test,9,289,0,0.7339
10,experimental,test,9,290,1,0.5619
10,experimental,test,10,291,1,0.4243
10,experimental,test,10,292,1,0.678
10,experimental,test,10,293,1,0.5582
10,experimental,test,10,294,1,0.4394
10,experimental,test,10,295,1,0.7213
10,experimental,test,10,296,1,0.4049
10,experimental,test,10,297,1,0.4682
10,experimental,test,10,298,1,0.9657
10,experimental,test,10,299,1,0.6782
10,experimental,test,10,300,1,0.72
