experiment,rat_id,trial,cage_context,scent,choice,reward,reaction_time,maze_run_time
exp1,1,1,mesh,none,L,1,0.5716877032175749,3.789606407753696
exp1,1,2,wood,none,R,0,0.93600436609754,3.209560932988243
exp1,1,3,mesh,none,L,1,0.4574906152740517,2.137541083743484
exp1,1,4,mesh,peppermint,L,1,0.4461169042804281,2.6483280991462963
exp1,1,5,mesh,lemon,L,1,0.2,2.7278086377374087
exp1,1,6,mesh,peppermint,L,1,0.6402233100165863,2.6998730749470443
exp1,1,7,mesh,lemon,R,0,1.0091632643455513,3.493251387631033
exp1,1,8,mesh,peppermint,R,1,0.3368626022106757,2.367440443038679
exp1,1,9,wood,lemon,L,1,1.094152704343499,3.3692332899977053
exp1,1,10,wood,lemon,L,1,0.6567258825923858,2.495457328567446
exp1,1,11,wood,peppermint,R,0,0.2489156467280829,3.6718091447842305
exp1,1,12,mesh,none,R,1,0.2267631955636364,3.2910613973565197
exp1,1,13,mesh,peppermint,R,1,0.9796942592163616,2.580391238388681
exp1,1,14,mesh,none,R,0,0.5045259869864717,3.411133939364672
exp1,1,15,wood,none,R,0,0.4747859058834488,3.463994939209833
exp1,1,16,mesh,peppermint,R,0,1.028218093503358,4.247717126441737
exp1,1,17,mesh,peppermint,L,1,0.7102534731434185,3.043523534119086
exp1,1,18,wood,none,L,0,0.503677142050376,3.2327917731632474
exp1,1,19,mesh,none,L,1,0.259821632875842,2.5957531985534064
exp1,1,20,wood,lemon,R,0,0.4465438453466079,3.62855843502814
exp1,1,21,wood,lemon,R,0,0.6963698381938719,3.3361874083609986
exp1,1,22,wood,none,L,1,0.3632217397482912,2.564847522719463
exp1,1,23,mesh,none,L,1,0.4398239267045942,2.5465063872975597
exp1,1,24,mesh,lemon,L,1,0.3693545242585603,2.6686308433108934
exp1,1,25,wood,lemon,R,0,0.5317882575291809,3.2791169883869937
exp1,1,26,wood,none,R,0,0.5479455038991617,2.2506204291806444
exp1,1,27,wood,peppermint,R,0,1.290082121345842,3.895515973521523
exp1,1,28,wood,none,R,0,0.3451844871241599,3.0596795907351155
exp1,1,29,mesh,none,L,1,0.591628639226058,3.049825682543821
exp1,1,30,mesh,peppermint,R,0,0.4282751631082886,3.1398510035705933
exp1,1,31,mesh,none,L,1,0.485255640606877,3.2409895695014472
exp1,1,32,mesh,none,L,1,0.9338160557524116,2.4861445679557557
exp1,1,33,wood,lemon,R,0,0.8401783441715414,3.531412299866591
exp1,1,34,wood,peppermint,L,1,0.7340002390536515,3.4080763614406853
exp1,1,35,wood,lemon,R,0,0.7193853003775035,3.6131441347494375
exp1,1,36,mesh,lemon,R,0,0.8813784837865789,3.007309101437156
exp1,1,37,wood,lemon,L,0,0.3054790142990516,2.834962967242608
exp1,1,38,wood,peppermint,R,0,0.5479879749452092,3.817120148132145
exp1,1,39,wood,peppermint,L,1,2.9817170894434795,2.9942782762651357
exp1,1,40,wood,peppermint,L,1,0.6927117146329766,3.68221672366016
exp1,1,41,mesh,none,L,1,1.0479844790427624,3.739924387599277
exp1,1,42,wood,none,R,0,0.6819361716218975,3.803487854784312
exp1,1,43,wood,none,R,0,0.4510760159155381,4.559443106114996
exp1,1,44,wood,none,L,1,1.2753339184409669,2.6953133120577935
exp1,1,45,mesh,lemon,L,0,0.3512113425325761,3.815037469300504
exp1,1,46,wood,lemon,L,0,1.4604473109174874,3.529104359223
exp1,1,47,wood,lemon,R,0,0.2944844170977143,3.020495951786611
exp1,1,48,mesh,lemon,R,0,1.1773832865619482,3.757523843153024
exp1,1,49,mesh,none,L,1,4.5655015430983585,3.0341756255519146
exp1,1,50,wood,peppermint,R,0,0.4367189994814645,3.574916858169799
exp1,1,51,mesh,lemon,R,0,0.5894857252706744,3.5321400095477316
exp1,1,52,mesh,none,L,0,0.303971176354579,3.312739220454765
exp1,1,53,mesh,peppermint,L,1,0.2692622461519871,2.946402762419437
exp1,1,54,mesh,lemon,L,1,0.4176877430690939,2.6140904611216222
exp1,1,55,wood,lemon,L,1,1.3560088411478168,3.882727120140548
exp1,1,56,wood,none,L,0,0.6849971633557829,3.6886481327302048
exp1,1,57,wood,none,L,1,1.354499771949224,3.6334555745933113
exp1,1,58,mesh,none,L,1,0.3687538361162362,2.8813040193966657
exp1,1,59,wood,lemon,L,1,1.5185068041742598,2.87371592430342
exp1,1,60,mesh,lemon,L,1,0.2721234619117514,2.935793926730146
exp1,1,61,wood,peppermint,L,0,0.421911650355245,3.0092456744760243
exp1,1,62,wood,peppermint,R,0,0.7009611927163598,4.086217891196121
exp1,1,63,wood,lemon,L,1,0.7256242545830012,3.2406088642140634
exp1,1,64,wood,peppermint,R,0,0.6986257451114132,3.1655125863416576
exp1,1,65,wood,peppermint,L,1,0.3340773219127851,2.228137298654052
exp1,1,66,wood,none,R,1,1.0045527518645905,2.705317621527894
